name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19x_634,YYxYYxyXYXXXYXXXX,YXyxYX,1,,1000,18
ac19x_652,YYYxxYxyXXyyX,YXyxYX,1,,1000,13
ac19x_698,YYYYXyyyXXXYx,YXyxYX,1,,1000,17
ac19x_769,YYXyXyyxyxxYx,YXyxYX,1,,1000,16
ac19x_770,YYXXXXYXXYYxx,YXyxYX,1,,1000,16
ac19x_914,YYYXyxyXyXXXYYx,YXyxYX,1,,1000,17
ac19x_964,YXYxYxyXXXXXXYx,YXyxYX,1,,1000,17
ac19x_990,YYXyxYxxxyXyX,YXyXYXXX,1,,1000,18
ac19x_1003,YYXYxYYxyyXXX,YXyxYX,1,,1000,16
ac19x_1062,YYYXXYYXXXYXXYxyyX,YXYXyxYXX,1,,1000,17
ac19x_1084,YYxYXyyxxYxYx,YXyxYxYxx,1,,1000,15
ac19x_1111,YYYYxxYXXyyyX,YXyxYX,1,,1000,16
ac19x_1116,YYxyXYXXyXyxxxx,YXyxYX,1,,1000,17
ac19x_1257,YYxYxYXyyXXXX,YXyxYX,1,,1000,18
ac19x_1299,YXYXXYxyX,YXYxxyxxyXyX,1,,1000,16
ac19x_1306,YYYYYXyXXXXYYXX,YXyxYX,1,,1000,17
ac19x_1370,YYYxyXXXyXYYx,YXyxYX,1,,1000,17
ac19x_1548,YYYYYYXXXXXYxyXYX,YXyxYX,1,,1000,17
ac19x_1564,YYYXXXyXXXYYxyx,YXyxYX,1,,1000,18
ac19x_1909,YYYXyXXyyxxxyxx,YXyxYX,1,,1000,19
ac19x_1924,YYYXYxyX,YYxYYxyXXyxyXyxyX,1,,1000,17
ac19x_1928,YYxYXYYxyXXXXXX,YXyxYX,1,,1000,19
ac19x_1974,YYYXYxyX,YXXYXyxxx,1,,1000,17
ac19x_2106,YYYYxxyXXXXYXyX,YXyxYX,1,,1000,19
ac19x_2120,YYYXYXXYxyyXX,YXYXyxYXX,1,,1000,17
ac19x_2183,YYYXyXXyXXYYxyx,YXyxYX,1,,1000,17
ac19x_2253,YYYXYxyX,YYYxyxYYXXX,1,,1000,17
ac19x_2354,YYYxxYXyXYXXX,YXyxYX,1,,1000,16
ac19x_2471,YYYYYXXXXXXYX,YXyxYX,1,,1000,18
ac19x_2495,YYxxYxYXXyxyXXX,YXyxYX,1,,1000,17
ac19x_2511,YYYxxxyXYXXXXyX,YXyxYX,1,,1000,18
ac19x_2517,YYxYxYXyXXyXX,YXyxYX,1,,1000,17
ac19x_2535,YYxxxyXyxyxxx,YXyXYXXX,1,,1000,18
ac19x_2784,YYYxYYXyXYXXXXX,YXyxYX,1,,1000,19
ac19x_2790,YYYXYxxyXyXXYYX,YXyxYX,1,,1000,11
ac19x_2824,YYXXyxyXXYXYYxx,YXyxYX,1,,1000,16
ac19x_2911,YYXyxYXXYxYXyxYXyx,YYXyxYXyxYYXyyx,1,,1000,16
ac19x_2919,YYYYXXXXXYXYx,YXyxYX,1,,1000,16
ac19x_2962,YYYxyyxyXyXXXYx,YXyxYX,1,,1000,17
ac19x_3049,YYYXYxyX,YXYxYXXYXyxYx,1,,1000,18
ac19x_3127,YXyXyXyxxYxYx,YXyxYX,1,,1000,16
ac19x_3146,YYxyXYXyyXyxxYx,YXyxYX,1,,1000,16
ac19x_3165,YYYxYxYXXXXXX,YXyxYX,1,,1000,19
ac19x_3226,YYYXyxyXyXXYYYx,YXyxYX,1,,1000,17
ac19x_3327,YXYxxyXYxyXYXyX,YXXyxYXXyxx,1,,1000,15
ac19x_3360,YYYXyXXYYXyX,YYYxyyXYYXyXX,1,,1000,17
ac19x_3372,YYXyyXyyxYxxx,YXyxYX,1,,1000,17
ac19x_3425,YYYYxYXXXyXYX,YXyxYX,1,,1000,17
ac19x_3474,YYxYXyXyXyyxx,YXyxYX,1,,1000,17
ac19x_3503,YXXyXXyxxxxxx,YXyxYX,1,,1000,17
ac19x_3525,YYxxYxyXyXyXX,YXyxYX,1,,1000,17
ac19x_3540,YYxxxxxyXXYXXyX,YXyxYX,1,,1000,16
ac19x_3570,YYYYYYXyXXX,YXyxYX,1,,1000,15
ac19x_3664,YYYXYxyX,YYXyxxyXXXYxxyxyX,1,,1000,18
ac19x_3678,YYYXyxyyXyXXYYx,YXyxYX,1,,1000,16
ac19x_3683,YYxYYxyxYXXyyXX,YXyxYX,1,,1000,17
ac19x_3796,YXYXYXYxYXyXXYXX,YXYXXYxyX,1,,1000,18
ac19x_3861,YYXYxyyXXXyyxxx,YXyxYX,1,,1000,17
ac19x_3890,YYYXXyyyXyxxx,YXyxYX,1,,1000,17
ac19x_4020,YYXYXXXXYXXyXyX,YXyXYXXX,1,,1000,14
ac19x_4023,YYYXYxyX,YYXYxYXyyXyxx,1,,1000,17
ac19x_4054,YYYXYxyX,YYYxYXyyXyx,1,,1000,17
ac19x_4143,YYYYYxYXXyxyXyX,YXyxYX,1,,1000,17
ac19x_4213,YYYXXyyXyyxYx,YXyxYX,1,,1000,16
