index,name,r1,r2,nodes_explored,route
99,ac19_99,YYXXyxx,YXXXXXXXXyxxxxxxx,1000,incumbent_restart
102,ac19_102,YYXXyx,YXXXXXXyxxxxx,1000,incumbent_restart
103,ac19_103,YYXXXXyX,YXXXXXXyxxxxx,1000,incumbent_restart
105,ac19_105,YYXXXXyX,YXXXXXyxxxxxx,1000,incumbent_restart
109,ac19_109,YXXyx,YYYYYYYYXyyyyyyyx,1000,plain_s20
134,ac19_134,YYXXYXyyx,YYYXXXYXyyX,1000,incumbent_restart
177,ac19_177,YXXXXyXYx,YXXyxYXXXX,1000,incumbent_restart
183,ac19_183,YYXXyxx,YYYXYYXyx,1000,incumbent_restart
230,ac19_230,YYXXyxx,YYYXYXYYx,1000,incumbent_restart
240,ac19_240,YXXXyXyx,YYXYxxxyXyx,1000,incumbent_restart
252,ac19_252,YYXXyx,YYXXYxxxxyXXX,1000,incumbent_restart
294,ac19_294,YXXYxYxx,YYYxxYXYx,1000,incumbent_restart
353,ac19_353,YXYxyx,YYXXXyyXyXyxYxx,1000,incumbent_restart
399,ac19_399,YXyxYXXyx,YYXyXXXyxYX,1000,incumbent_restart
420,ac19_420,YYXXXyX,YYXyyxxyxx,1000,incumbent_restart
555,ac19_555,YYXXXyX,YXyxYXXXyxx,1000,incumbent_restart
969,ac19_969,YYXXYXyyx,YYYXXYXXXXX,1000,incumbent_restart
986,ac19_986,YYXXXyx,YYXXYXyXX,1000,incumbent_restart
1007,ac19_1007,YYXXXyX,YXYxyXXX,1000,incumbent_restart
1318,ac19_1318,YXXyXyx,YYYXyxYxxyyX,1000,incumbent_restart
1375,ac19_1375,YXXyXYx,YYxyXyXYXYX,1000,incumbent_restart
1430,ac19_1430,YXXyXyx,YYYxxxxyx,1000,incumbent_restart
1518,ac19_1518,YYXXyxx,YXYXyXYxx,1000,incumbent_restart
1595,ac19_1595,YYXyxxxxyyX,YYXyXXYYXyxxyX,1000,incumbent_restart
1670,ac19_1670,YYXXyxx,YYxYxyX,1000,incumbent_restart
1715,ac19_1715,YXXXYxx,YYYXYXXyxyyxx,1000,incumbent_restart
1725,ac19_1725,YYXXXXYxyxx,YYXXXXyxxxx,1000,incumbent_restart
1779,ac19_1779,YXyxYXXyx,YYXYxyXYxyXyX,1000,incumbent_restart
1837,ac19_1837,YXXyXyx,YYxyXyxxYX,1000,incumbent_restart
1880,ac19_1880,YXXXXyXXyXX,YYXyyXXXXyXX,1000,incumbent_restart
1997,ac19_1997,YXXyXyx,YYYxxYxxyx,1000,incumbent_restart
2376,ac19_2376,YYXXyxx,YXYxxYXyx,1000,incumbent_restart
2513,ac19_2513,YYXXXYX,YYYXyXXyxx,1000,incumbent_restart
2623,ac19_2623,YYXYXyX,YYxyXXX,1000,incumbent_restart
2671,ac19_2671,YXXYxYxx,YYXXXXyxxxx,1000,incumbent_restart
2696,ac19_2696,YYXXYxYXXXYx,YYXXXyxxYXXYx,1000,incumbent_restart
2715,ac19_2715,YXYXXYx,YYxYxyXYXyX,1000,incumbent_restart
2744,ac19_2744,YXyxYXXyx,YYXYXyxYXyXyX,1000,incumbent_restart
2748,ac19_2748,YXXYxYxx,YYXyxYYxxYX,1000,incumbent_restart
3129,ac19_3129,YYXXXyxx,YYxyxxYXXXX,1000,incumbent_restart
3175,ac19_3175,YXXXyXyx,YYXyXyxyX,1000,incumbent_restart
3382,ac19_3382,YXXYxxyx,YXXYxYxxYxxyX,1000,incumbent_restart
3432,ac19_3432,YXXyXYx,YYXXXXyxxx,1000,incumbent_restart
3566,ac19_3566,YYXXXYxx,YYYxxyXXX,1000,incumbent_restart
3667,ac19_3667,YYXXXyxxx,YYYYXXYXYxx,1000,incumbent_restart
3794,ac19_3794,YYXXYXYXX,YYXXyyXYxx,1000,incumbent_restart
3797,ac19_3797,YYXXYx,YYYxyXYxyyX,1000,incumbent_restart
3820,ac19_3820,YXXXyxx,YYXyXYxyxYXXyx,1000,incumbent_restart
3995,ac19_3995,YXXyXyx,YYYxxxxx,1000,incumbent_restart
4076,ac19_4076,YYYXXXXyyx,YYYYXXyyxyX,1000,incumbent_restart
4342,ac19_4342,YXXYxYxx,YYxyXYxyX,1000,incumbent_restart
4395,ac19_4395,YYXXXYX,YYYxyXXXX,1000,incumbent_restart
4433,ac19_4433,YXXyXyx,YYYxyXYxxyyX,1000,incumbent_restart
4740,ac19_4740,YXXYxxyxx,YYxxyXYXyx,1000,incumbent_restart
4894,ac19_4894,YXXyXyx,YYXyxxyXX,1000,incumbent_restart
4974,ac19_4974,YYXXYYxyX,YYXXYYXXYx,1000,incumbent_restart
5016,ac19_5016,YXXXYxx,YYXYXYYXXyyxx,1000,incumbent_restart
5159,ac19_5159,YYXXXXX,YXyXXYxyXYx,1000,incumbent_restart
5174,ac19_5174,YXXyXYx,YYXXXYXXyxx,1000,incumbent_restart
5230,ac19_5230,YXXyXyx,YYxxYYxxyx,1000,incumbent_restart
5250,ac19_5250,YXXyXyx,YYxyXYxyxx,1000,incumbent_restart
5478,ac19_5478,YYYXXXyxx,YYYXYXXXYxx,1000,incumbent_restart
5535,ac19_5535,YXyxYXXyx,YYXXXyxYXyXyyX,1000,incumbent_restart
5542,ac19_5542,YYXXXYx,YXYxYxYXXXX,1000,incumbent_restart
5593,ac19_5593,YXXyXyx,YYXyxyXXyX,1000,incumbent_restart
5622,ac19_5622,YXYXyXYxx,YYxxyXYXyX,1000,incumbent_restart
5652,ac19_5652,YYXXyxx,YYYYXYxyx,1000,incumbent_restart
5981,ac19_5981,YXXYxxyX,YYYXXyxyx,1000,incumbent_restart
6385,ac19_6385,YYXXyxx,YYXYYXXYxyx,1000,incumbent_restart
6512,ac19_6512,YXyxYXXyx,YYXyXyXYXYXyx,1000,incumbent_restart
6540,ac19_6540,YXYXXYx,YYYXYxxyXyX,1000,incumbent_restart
6554,ac19_6554,YYXyxYXXyx,YXyxYXyxxyXyx,1000,incumbent_restart
6618,ac19_6618,YXXXYxx,YYYXYYYXYX,1000,incumbent_restart
6678,ac19_6678,YYXXyXyxx,YXYxxyXXYxyXX,1000,incumbent_restart
6800,ac19_6800,YXyxYXXyx,YYXyxYXyyxYxx,1000,incumbent_restart
6847,ac19_6847,YYXXXXYX,YYXXYXyyx,1000,incumbent_restart
6939,ac19_6939,YYXXXYX,YYYYXXyxyXX,1000,incumbent_restart
7037,ac19_7037,YYXXXyX,YYXXXXyxyxx,1000,incumbent_restart
7078,ac19_7078,YXXXyXXyx,YYXyXXyxyX,1000,incumbent_restart
7248,ac19_7248,YYXXXXX,YXYxYXXyXyx,1000,incumbent_restart
7284,ac19_7284,YYXXXyXX,YXyxYXXXyxx,1000,incumbent_restart
7301,ac19_7301,YXXYxYxx,YYXyxYXyx,1000,incumbent_restart
7302,ac19_7302,YXXXXyXyx,YYYxxyxxyX,1000,incumbent_restart
7496,ac19_7496,YYXXXXXXyxx,YXXXXXyxxxxxx,1000,incumbent_restart
8222,ac19_8222,YYXXXyx,YXYXXXyXXYx,1000,incumbent_restart
8412,ac19_8412,YYXXyxx,YYXYxxYXyx,1000,incumbent_restart
8690,ac19_8690,YYXXyx,YYXYxYXXX,1000,incumbent_restart
8721,ac19_8721,YXXYXXyx,YXXXyXXYx,1000,incumbent_restart
8792,ac19_8792,YXXyXyxx,YYXYxxyxYxx,1000,incumbent_restart
8849,ac19_8849,YYXXXXYX,YYYXXXyyx,1000,incumbent_restart
8907,ac19_8907,YXYxyx,YYXyXXyyXyxxxYx,1000,incumbent_restart
8984,ac19_8984,YYYXXXyxx,YYYxxyyXX,1000,incumbent_restart
9041,ac19_9041,YYXYXXXyx,YYYYXyyXyx,1000,incumbent_restart
9271,ac19_9271,YXXXyxx,YYXyXYxyxYxyX,1000,incumbent_restart
9822,ac19_9822,YYXXXXYX,YYYXXyxyX,1000,incumbent_restart
10083,ac19_10083,YXYxYXXYx,YYXyyxYXyyx,1000,incumbent_restart
10111,ac19_10111,YYXXYXyyX,YXyxYXXyx,1000,incumbent_restart
10229,ac19_10229,YYXXyxxYXXyxx,YYXYXYxYYXXyxx,1000,incumbent_restart
10327,ac19_10327,YYYXXXXyyx,YYYYxxyyyXyyx,1000,incumbent_restart
10460,ac19_10460,YXXXXyXYx,YXXyxxxxyx,1000,incumbent_restart
10562,ac19_10562,YXyxYXXyx,YYXyyXXXYx,1000,incumbent_restart
10584,ac19_10584,YXXYxxyxx,YXXyXXXyxxYXXyxx,1000,incumbent_restart
10617,ac19_10617,YXXXyXXYx,YXyxxYXXXX,1000,incumbent_restart
10683,ac19_10683,YXyxYXXyx,YYXXYxyXYxyXyX,1000,incumbent_restart
10811,ac19_10811,YXXYxxyx,YYYxxxxyXXXYx,1000,incumbent_restart
10820,ac19_10820,YYXXXXYX,YYxyXyxxxyX,1000,incumbent_restart
10822,ac19_10822,YYXXYXyxx,YXyXXYxxx,1000,incumbent_restart
10990,ac19_10990,YXXYXXyx,YYXXYxxyXyX,1000,incumbent_restart
11074,ac19_11074,YYXXXXyx,YYXXXYXyX,1000,incumbent_restart
11120,ac19_11120,YXXYxxyX,YYXXyXYxx,1000,incumbent_restart
11261,ac19_11261,YXXXYxxxyx,YYxxxyXYxyX,1000,incumbent_restart
11495,ac19_11495,YXyxYXXyx,YYXyxYXyxyxYx,1000,incumbent_restart
11628,ac19_11628,YXXyXYx,YYxyXXXX,1000,incumbent_restart
11753,ac19_11753,YYXXYxYXX,YYXXyXYYx,1000,incumbent_restart
11852,ac19_11852,YYXYxxxYX,YYXyxYXyx,1000,incumbent_restart
11931,ac19_11931,YYXXXyx,YYYXYXyyX,1000,incumbent_restart
11953,ac19_11953,YXXXyXyX,YYxxYxxyxyX,1000,incumbent_restart
12070,ac19_12070,YYXXyx,YYYYxyXXyxyXX,1000,incumbent_restart
12112,ac19_12112,YYXXXXyx,YXYxxyXXX,1000,incumbent_restart
12148,ac19_12148,YYXXYxyxYxyxx,YYXyXYXyxYxyxx,1000,incumbent_restart
12445,ac19_12445,YYXXYx,YYYxyyxyXyX,1000,incumbent_restart
12559,ac19_12559,YYXXYYx,YYYXYXXYxx,1000,incumbent_restart
12586,ac19_12586,YYXXyx,YYXXXYxYXXX,1000,incumbent_restart
12596,ac19_12596,YXXyXyx,YYxxxyxYX,1000,incumbent_restart
12647,ac19_12647,YXXyXyx,YYxxyxyXYXXyX,1000,incumbent_restart
12854,ac19_12854,YXyXYxx,YYYXYYxyX,1000,incumbent_restart
13142,ac19_13142,YYXXXYx,YYxyXYX,1000,incumbent_restart
13202,ac19_13202,YYXXXYxx,YYXYxxyXX,1000,incumbent_restart
13214,ac19_13214,YYXXyxYXXyxx,YXYxxyXXYXXyx,1000,incumbent_restart
13642,ac19_13642,YXXyXyx,YYYxxyXyxx,1000,incumbent_restart
13840,ac19_13840,YYXXyXyyx,YYxxyxxYx,1000,incumbent_restart
13890,ac19_13890,YXXXYxx,YYXXYYxyX,1000,incumbent_restart
14165,ac19_14165,YYXXyx,YYYXYXXXX,1000,incumbent_restart
