autmin,autmin_r1,autmin_r2,original,orig_r1,orig_r2,nodes_explored,path_length,autmin_path_length
ac19_7284,YYXXXyXX,YXyxYXXXyxx,ac19x_8769,YYxYxYxyXyXyXyxYx,YXyXyXyxYxYXyx,28019,50,54
ac19_7284,YYXXXyXX,YXyxYXXXyxx,ac19x_16286,YXXXyXXYxxxx,YXyxYXXXyxx,895,55,59
ac19_7284,YYXXXyXX,YXyxYXXXyxx,ac19x_101025,YYXYXYXyxyxyxyXYX,YXYXyxYXyxyxYX,28012,50,54
ac19_12445,YYXXYx,YYYxyyxyXyX,ac19x_15526,YYYXyyyxxYX,YYXYxyyx,5084,56,58
ac19_15507,YYXXyxx,YYYYYYXYxYYYYX,ac19x_19903,YXXXYxyxxxyXX,YXyXXXyXXXX,43117,38,41
ac19_16286,YYXXXXyx,YYXXXYXXyXX,ac19x_21044,YYYYXYxyyyyX,YYYYXyyxyyXYX,6467,51,55
ac19_16286,YYXXXXyx,YYXXXYXXyXX,ac19x_46185,YYxYxyXyXyxxYx,YYxyXyXyXyXYxYx,1148,48,51
ac19_16286,YYXXXXyx,YYXXXYXXyXX,ac19x_51554,YYxxxYXXyXX,YXyXXXyxxxx,891,53,56
ac19_16286,YYXXXXyx,YYXXXYXXyXX,ac19x_140735,YYXYXyxyxyXXYX,YYXyxyxyxyxYXYX,1141,48,51
ac19_20270,YYXXXYxx,YYYXXXyxyyxyx,ac19x_27180,YYxYxxxyXXyXXyX,YXXyXXyXYxxYxx,1847,60,62
ac19_23156,YYXXyxx,YYYxYXYYX,ac19x_31848,YXYxxxyx,YXXXYxyxxxyXX,47428,43,46
ac19_27187,YYXXXXyXX,YYXXyxxxxxxyXXX,ac19x_38929,YXXYxxxyXXXXyxx,YXXyXXXXYxxxx,40420,40,44
ac19_27187,YYXXXXyXX,YYXXyxxxxxxyXXX,ac19x_151459,YXXYxxyXXXXyxxx,YXXXXyXXYxxxx,40570,39,43
ac19_27254,YXXXyXYx,YXXyxxxxyxx,ac19x_39050,YYxxyXX,YXXXXXYxyxxx,6605,90,94
ac19_28131,YYXXXXyx,YXXyXXXYx,ac19x_40647,YYXYXYXyxyxyxyXYX,YYXyxyxyxyxYXYX,4186,49,52
ac19_28131,YYXXXXyx,YXXyXXXYx,ac19x_62350,YYYYYXyyyxyyX,YYYYXYxyyyyX,6002,50,54
ac19_28131,YYXXXXyx,YXXyXXXYx,ac19x_130941,YYxYxYxyXyXyXyxYx,YYxyXyXyXyXYxYx,4193,49,52
ac19_28131,YYXXXXyx,YXXyXXXYx,ac19x_137795,YXXXyXXYxxxx,YXyXXXyxxxx,894,54,57
ac19_28510,YYXXyxx,YYYYYYXYXYYx,ac19x_41313,YXXYxxyxxxxxx,YXXXYxyxxxyXX,43148,40,43
ac19_31298,YYXXYx,YYYXYYxYXyX,ac19x_46444,YYYXyXyyxyX,YYXYxyyx,5084,58,60
ac19_36350,YYXXXYxx,YYYYXXXyxyxYYYX,ac19x_56611,YXXYXXXyXyxYxxYxx,YXXyXXyXYxxYxx,5774,62,64
ac19_40312,YXXXXyXyx,YXXYxxxyxx,ac19x_65053,YXXXXyxYx,YXXXyXXYxxxx,1068,58,60
ac19_44381,YXXYXXyxx,YXyXyxxxxx,ac19x_74462,YYxxyXX,YXXXXXyxYxxx,36225,156,158
ac19_46363,YXXXyXyxxx,YYYXYxYxxxx,ac19x_79238,YYYXyyyxx,YYYxyxyxyyxx,52143,78,79
ac19_50841,YXXyXyxx,YYYxxxYYx,ac19x_90583,YYXYXYxxYX,YYxxyXX,50621,91,92
