name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_130,YXYXyx,YYYxxYxyXXyyX,2,652 50815,516,2
ac19_202,YXXXyxx,YYXyxYxyxxx,4,726 77026 98803 149949,823,2
ac19_242,YXYXyx,YYXyXyyxyxxYx,2,769 35507,640,2
ac19_295,YXXXyxx,YYXyxYXyx,40,823 5379 6853 7708 8518 8848 23134 23890 24313 27191 31951 32002 36127 38351 39739 44888 47275 49539 54253 55459 58038 59145 59966 63281 76978 85530 95537 95671 95943 99183 102477 103143 109757 110467 120499 135506 144379 148166 148966 155569,568,2
ac19_353,YXYxyx,YYXXXyyXyXyxYxx,3,883 32987 48765,516,2
ac19_460,YXyXXXyX,YYxyXYXXXyxyx,1,990,992,2
ac19_472,YXYXyx,YYXYxYYxyyXXX,2,1003 71312,794,2
ac19_575,YXYXyx,YYXyyXXXXYxxx,2,1111 134173,729,2
ac19_586,YYXXYXX,YYYYXYXXyyXyx,1,1123,626,2
ac19_757,YXyXXyx,YYXYxxyyXyX,4,1299 22877 98319 151411,698,2
ac19_762,YXyXYxx,YYXYxxYxxyyXyyX,2,1305 155440,723,2
ac19_1358,YYXXXyXYX,YYxyXYXyX,5,1937 5134 64845 79727 149207,640,2
ac19_1373,YXXXyxx,YYXXyXYxyX,17,1952 9033 48297 48938 52125 62593 75089 78446 84562 94625 99705 127133 132991 138314 150365 151633 151998,617,2
ac19_1668,YXXYx,YYXYXYYXXyyxx,3,2261 31376 86084,611,2
ac19_1757,YXYXyx,YYYXYxYXyyXXX,1,2354,692,2
ac19_2276,YXXYx,YYXyxYXYXyyx,2,2908 57768,610,2
ac19_2346,YXXYx,YYYXXyxYYXYX,3,2981 32918 123820,612,2
ac19_2423,YXXXyxx,YYXyxYxxyx,17,3066 26734 42314 53808 56225 58072 58421 101614 107083 111100 119077 119893 130646 138921 139319 146102 156636,643,2
ac19_2482,YXyXXyx,YYYXyyyxx,2,3127 137713,809,2
