name,arm,solved,aut_assisted,nodes_explored,budget,cap
ac19_0,s40_gen,1,0,3,1000,255
ac19_1,s40_gen,1,0,6,1000,255
ac19_10,s40_gen,1,0,4,1000,255
ac19_100,s40_gen,0,1,87,1000,255
ac19_1000,s40_gen,1,0,7,1000,255
ac19_10000,s40_gen,0,1,14,1000,255
ac19_10001,s40_gen,0,1,7,1000,255
ac19_10002,s40_gen,0,1,26,1000,255
ac19_10003,s40_gen,0,1,34,1000,255
ac19_10004,s40_gen,1,0,8,1000,255
ac19_10005,s40_gen,1,0,5,1000,255
ac19_10006,s40_gen,0,1,38,1000,255
ac19_10007,s40_gen,1,0,12,1000,255
ac19_10008,s40_gen,0,1,23,1000,255
ac19_10009,s40_gen,0,1,60,1000,255
ac19_1001,s40_gen,1,0,9,1000,255
ac19_10010,s40_gen,1,0,8,1000,255
ac19_10011,s40_gen,0,1,18,1000,255
ac19_10012,s40_gen,0,1,42,1000,255
ac19_10013,s40_gen,0,1,19,1000,255
ac19_10014,s40_gen,0,1,26,1000,255
ac19_10015,s40_gen,0,1,16,1000,255
ac19_10016,s40_gen,0,1,253,1000,255
ac19_10017,s40_gen,0,1,6,1000,255
ac19_10018,s40_gen,0,1,33,1000,255
ac19_10019,s40_gen,0,1,8,1000,255
ac19_1002,s40_gen,0,1,18,1000,255
ac19_10020,s40_gen,0,1,10,1000,255
ac19_10021,s40_gen,0,0,1000,1000,255
ac19_10022,s40_gen,0,1,14,1000,255
ac19_10023,s40_gen,1,0,10,1000,255
ac19_10024,s40_gen,0,1,15,1000,255
ac19_10025,s40_gen,0,1,6,1000,255
ac19_10026,s40_gen,0,1,8,1000,255
ac19_10027,s40_gen,0,1,40,1000,255
ac19_10028,s40_gen,0,1,30,1000,255
ac19_10029,s40_gen,0,1,17,1000,255
ac19_1003,s40_gen,0,1,25,1000,255
ac19_10030,s40_gen,1,0,5,1000,255
ac19_10031,s40_gen,1,0,9,1000,255
ac19_10032,s40_gen,0,1,8,1000,255
ac19_10033,s40_gen,0,1,47,1000,255
ac19_10034,s40_gen,1,0,10,1000,255
ac19_10035,s40_gen,0,1,13,1000,255
ac19_10036,s40_gen,0,1,11,1000,255
ac19_10037,s40_gen,0,1,8,1000,255
ac19_10038,s40_gen,0,1,11,1000,255
ac19_10039,s40_gen,0,1,28,1000,255
ac19_1004,s40_gen,1,0,9,1000,255
ac19_10040,s40_gen,0,1,24,1000,255
ac19_10041,s40_gen,0,1,218,1000,255
ac19_10042,s40_gen,1,0,11,1000,255
ac19_10043,s40_gen,0,1,51,1000,255
ac19_10044,s40_gen,0,0,1000,1000,255
ac19_10045,s40_gen,0,1,82,1000,255
ac19_10046,s40_gen,0,1,141,1000,255
ac19_10047,s40_gen,1,0,4,1000,255
ac19_10048,s40_gen,0,1,21,1000,255
ac19_10049,s40_gen,0,1,9,1000,255
ac19_1005,s40_gen,0,1,15,1000,255
ac19_10050,s40_gen,1,0,7,1000,255
ac19_10051,s40_gen,0,1,47,1000,255
ac19_10052,s40_gen,0,1,5,1000,255
ac19_10053,s40_gen,0,1,28,1000,255
ac19_10054,s40_gen,0,1,8,1000,255
ac19_10055,s40_gen,0,1,15,1000,255
ac19_10056,s40_gen,0,1,10,1000,255
ac19_10057,s40_gen,0,1,20,1000,255
ac19_10058,s40_gen,0,1,134,1000,255
ac19_10059,s40_gen,0,1,13,1000,255
ac19_1006,s40_gen,0,0,1000,1000,255
ac19_10060,s40_gen,0,1,24,1000,255
ac19_10061,s40_gen,0,1,145,1000,255
ac19_10062,s40_gen,0,1,6,1000,255
ac19_10063,s40_gen,0,1,9,1000,255
ac19_10064,s40_gen,0,1,72,1000,255
ac19_10065,s40_gen,0,1,17,1000,255
ac19_10066,s40_gen,0,1,13,1000,255
ac19_10067,s40_gen,1,0,6,1000,255
ac19_10068,s40_gen,0,1,14,1000,255
ac19_10069,s40_gen,0,1,18,1000,255
ac19_1007,s40_gen,0,1,250,1000,255
ac19_10070,s40_gen,1,0,10,1000,255
ac19_10071,s40_gen,0,1,8,1000,255
ac19_10072,s40_gen,0,1,25,1000,255
ac19_10073,s40_gen,0,1,13,1000,255
ac19_10074,s40_gen,0,1,15,1000,255
ac19_10075,s40_gen,0,1,18,1000,255
ac19_10076,s40_gen,0,1,36,1000,255
ac19_10077,s40_gen,0,0,1000,1000,255
ac19_10078,s40_gen,0,1,88,1000,255
ac19_10079,s40_gen,0,1,9,1000,255
ac19_1008,s40_gen,0,1,16,1000,255
ac19_10080,s40_gen,0,0,1000,1000,255
ac19_10081,s40_gen,1,0,6,1000,255
ac19_10082,s40_gen,0,1,19,1000,255
ac19_10083,s40_gen,0,1,686,1000,255
ac19_10084,s40_gen,0,1,8,1000,255
ac19_10085,s40_gen,0,1,123,1000,255
ac19_10086,s40_gen,0,1,12,1000,255
ac19_10087,s40_gen,0,1,106,1000,255
ac19_10088,s40_gen,0,1,18,1000,255
ac19_10089,s40_gen,1,0,6,1000,255
ac19_1009,s40_gen,1,0,9,1000,255
ac19_10090,s40_gen,0,1,34,1000,255
ac19_10091,s40_gen,0,1,235,1000,255
ac19_10092,s40_gen,0,1,36,1000,255
ac19_10093,s40_gen,1,0,5,1000,255
ac19_10094,s40_gen,0,1,10,1000,255
ac19_10095,s40_gen,0,1,168,1000,255
ac19_10096,s40_gen,0,1,14,1000,255
ac19_10097,s40_gen,0,1,11,1000,255
ac19_10098,s40_gen,0,1,41,1000,255
ac19_10099,s40_gen,0,0,1000,1000,255
ac19_101,s40_gen,0,1,88,1000,255
ac19_1010,s40_gen,0,1,36,1000,255
ac19_10100,s40_gen,0,1,11,1000,255
ac19_10101,s40_gen,0,1,11,1000,255
ac19_10102,s40_gen,0,1,23,1000,255
ac19_10103,s40_gen,0,1,10,1000,255
ac19_10104,s40_gen,0,1,10,1000,255
ac19_10105,s40_gen,0,1,11,1000,255
ac19_10106,s40_gen,1,0,14,1000,255
ac19_10107,s40_gen,1,0,8,1000,255
ac19_10108,s40_gen,1,0,5,1000,255
ac19_10109,s40_gen,0,0,1000,1000,255
ac19_1011,s40_gen,0,1,139,1000,255
ac19_10110,s40_gen,0,1,10,1000,255
ac19_10111,s40_gen,0,1,228,1000,255
ac19_10112,s40_gen,0,1,15,1000,255
ac19_10113,s40_gen,0,1,42,1000,255
ac19_10114,s40_gen,0,1,28,1000,255
ac19_10115,s40_gen,1,0,7,1000,255
ac19_10116,s40_gen,0,1,13,1000,255
ac19_10117,s40_gen,0,1,22,1000,255
ac19_10118,s40_gen,0,1,48,1000,255
ac19_10119,s40_gen,0,1,30,1000,255
ac19_1012,s40_gen,0,1,8,1000,255
ac19_10120,s40_gen,0,1,40,1000,255
ac19_10121,s40_gen,0,1,39,1000,255
ac19_10122,s40_gen,0,1,80,1000,255
ac19_10123,s40_gen,0,0,1000,1000,255
ac19_10124,s40_gen,0,1,6,1000,255
ac19_10125,s40_gen,0,1,15,1000,255
ac19_10126,s40_gen,0,1,53,1000,255
ac19_10127,s40_gen,0,1,15,1000,255
ac19_10128,s40_gen,0,1,31,1000,255
ac19_10129,s40_gen,0,0,1000,1000,255
ac19_1013,s40_gen,0,1,18,1000,255
ac19_10130,s40_gen,1,0,6,1000,255
ac19_10131,s40_gen,0,1,24,1000,255
ac19_10132,s40_gen,0,1,18,1000,255
ac19_10133,s40_gen,1,0,9,1000,255
ac19_10134,s40_gen,0,1,8,1000,255
ac19_10135,s40_gen,0,1,24,1000,255
ac19_10136,s40_gen,0,1,5,1000,255
ac19_10137,s40_gen,0,1,8,1000,255
ac19_10138,s40_gen,0,1,15,1000,255
ac19_10139,s40_gen,0,1,31,1000,255
ac19_1014,s40_gen,0,1,6,1000,255
ac19_10140,s40_gen,0,1,6,1000,255
ac19_10141,s40_gen,0,1,10,1000,255
