name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_6,YXXyx,YYXyxx,114,19 25 45 46 55 69 107 108 125 167 749 3275 4786 6716 7471 7861 9610 11242 16771 17736 18701 18720 20581 23118 25751 28694 29553 29995 30426 31279 32058 34275 36087 37754 40765 41785 42656 43449 45064 45653 46021 47809 47958 49737 52374 52806 54157 55614 58864 60750 61745 63409 64100 64614 66454 66660 67752 71388 71760 74179 76095 76643 77783 77800 79213 79871 80018 82681 84431 87893 90569 91096 91575 94734 95092 96060 100691 101627 103574 105044 109838 112053 112622 113775 113791 115268 115818 121629 121807 123076 123352 123518 128240 129667 130190 130734 132780 133437 135718 136131 137141 137547 139074 142938 144011 144016 144844 145885 147374 149986 153411 155019 155259 155511,7,2
ac19_7,YXXyx,YYYXyyX,91,30 58 1467 9849 11933 12039 13083 13188 15062 15787 16897 20781 21060 23546 25313 27694 31283 31889 33927 34551 36273 37227 40093 41013 44198 44883 50537 51596 52154 57141 62568 62904 64460 66152 66319 67033 71174 72010 72740 72751 73821 74770 85005 85461 87245 90087 94343 94864 96569 96900 97763 98769 100507 100609 101390 101988 103105 104158 104178 106159 111161 112926 113746 114692 120797 120955 122016 122503 123815 125210 128151 128330 129841 130834 132161 134253 136577 137865 138558 142751 143048 143395 143587 146497 148090 152180 152533 152994 154616 154659 155586,13,2
ac19_8,YXXyx,YYYXyyx,89,31 57 177 179 185 186 191 197 205 206 219 232 245 246 273 297 2355 6159 7103 8087 8691 9049 10296 11195 12271 13392 15200 15329 15516 16410 19891 24947 29661 32821 37387 38265 38511 39089 39166 41719 42075 45312 51348 51372 52538 54390 59461 61441 65888 66167 67833 71570 71736 72457 75792 82409 84386 85181 87574 88741 96788 99698 105581 105673 106857 112331 118914 120548 122411 122703 123042 126574 127675 127991 131336 131925 132058 132076 133268 133696 136640 137273 142529 147357 148247 151526 152428 154198 155485,10,2
ac19_14,YXXyx,YYXyxxx,56,49 63 115 116 135 165 5808 7869 13402 20839 21070 23228 23735 25675 28298 32796 33885 36862 37614 39879 50577 51104 54194 56691 62777 65465 66541 71745 71999 74589 74956 75097 80694 88314 90548 92433 94839 95656 96061 96147 97200 99143 101996 110009 110310 111121 115011 131295 131603 132188 134528 136704 141436 143121 144686 147443,10,2
ac19_15,YXXyx,YYYXXyyX,18,72 138 4656 11896 42109 43332 65959 77724 82025 89854 100668 112717 113844 121126 121598 129016 129021 137518,9,2
ac19_17,YXXyx,YYXyyXYX,49,74 150 1899 2913 7874 11100 12738 19259 26232 31045 32417 39983 46837 48409 57293 62326 62440 63146 65598 66437 69437 69877 70726 72247 75774 79249 81107 86222 87307 91293 91737 93633 95505 103280 103498 107029 110070 110780 112281 115787 116457 118462 122672 128238 134181 134981 147405 149087 154042,25,2
ac19_21,YXXyx,YYXyyxYx,56,78 149 1286 4699 5516 5633 14501 17370 22140 22995 23888 32718 43572 43638 47096 48767 51252 51453 58963 59123 66657 67267 68275 77577 80551 82223 87427 89327 90517 90751 98374 98770 99278 99878 101045 102829 104039 105613 107027 108146 109191 109514 109869 115582 116793 121233 128024 128259 131711 135574 136305 136952 142697 145364 153284 153834,15,2
ac19_22,YXXyx,YYXyyXyx,41,79 129 3895 9438 24560 32356 35939 37834 37864 37931 40596 54621 63539 63930 65576 66598 69356 69977 88904 89230 94371 96598 98063 100770 102916 108403 108899 110593 113862 117960 120571 128511 129537 131499 134560 142422 147697 148039 152006 152959 154458,7,2
ac19_24,YXXyx,YYYXXyyx,17,81 137 8245 17690 22134 59100 75607 77925 90505 92250 108747 117303 117734 122096 129830 137258 140946,6,2
ac19_25,YXXyx,YYYXyXyX,47,82 142 3350 3899 5842 12514 14256 15327 15989 19133 21233 24700 37078 38453 41885 47090 48713 48905 55895 56064 67215 67494 67934 71333 74296 83586 83867 86586 92300 104682 107664 116948 119502 121577 126359 131331 136022 136080 146399 146937 147078 150607 150876 151359 152088 153087 155092,17,2
ac19_26,YXXyx,YYYXyxyx,74,83 141 1127 6184 8233 8879 15245 15572 18316 19013 21082 21604 21874 23930 26853 29737 29766 30662 31971 38570 39199 41489 43468 44024 47084 48995 53924 54128 54885 57948 58210 60241 61674 65417 66288 69695 72980 73321 73851 74390 74769 75838 76040 79304 82005 83998 90297 91635 96097 99839 99876 107244 109551 110062 110839 111203 111271 111362 111768 114342 115819 118543 118625 120682 122132 130293 131724 133819 135540 144206 151271 152947 156123 156761,12,2
ac19_28,YXXYx,YYYXYxyX,52,91 140 2118 9066 17972 19719 22000 25582 29857 32237 32350 35776 38225 41328 42096 42702 42801 43628 50971 55002 55358 60198 61789 75414 83265 86781 87516 89206 91181 93259 95527 100123 102250 102445 103324 107718 107756 109535 112239 118208 121734 121809 125180 130297 132137 133149 135295 136680 141775 141827 148125 149014,9,2
ac19_31,YXXyx,YYYXyyXX,37,100 144 4992 22578 24814 24901 25475 32092 34931 38049 41036 42569 48685 51296 58613 61547 69289 86375 87216 88468 88910 88936 89574 101384 112137 116657 118146 118299 118482 119338 128865 133557 133872 137524 146561 151932 153048,34,2
ac19_32,YXXyx,YYYXyyxx,31,101 143 2855 25548 25919 26527 33411 33831 41872 43552 44164 47255 51622 52382 61060 73764 75122 80357 85569 86600 89817 92215 92448 97120 98641 100233 122215 124267 136442 145316 150343,30,2
ac19_37,YXXyx,YYXyXXXX,45,118 156 3911 8020 10734 11375 17856 26040 26075 30018 30470 31379 38812 40359 43166 48291 55825 56105 56355 59304 70388 73032 80010 90222 91526 111346 113557 122267 122499 125933 129219 130249 131593 132030 137909 138299 142022 142385 142727 143574 147863 148074 148263 148827 155976,18,2
ac19_38,YXXyx,YYXyxxxx,40,119 155 5615 6791 6990 10762 11190 12501 24136 24176 28015 30884 32870 33288 43435 48821 50296 50489 62151 64513 69805 70913 74023 74721 80130 93479 103222 105847 110937 116175 120161 124075 129364 134547 136778 140952 144157 153831 156276 156631,14,2
