name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_88,YXXyx,YYYYYYXyyyyyx,20,464 466 559 560 562 564 565 566 569 572 575 576 582 588 18756 42582 80564 95063 95680 130078,1000,16
ac19_99,YYXXyxx,YXXXXXXXXyxxxxxxx,6,527 529 628 629 630 633,1000,19
ac19_102,YYXXyx,YXXXXXXyxxxxx,25,561 563 567 568 570 571 577 578 583 587 11472 11834 14204 21343 24188 35475 49465 50731 73750 75659 86012 100133 106665 138840 147941,1000,15
ac19_103,YYXXXXyX,YXXXXXXyxxxxx,9,573 584 27118 45332 45525 82259 113134 138359 151580,1000,15
ac19_105,YYXXXXyX,YXXXXXyxxxxxx,6,581 586 60449 71264 98145 132273,1000,17
ac19_106,YXXyx,YYYYYYYXyyyyyyx,14,590 591 592 593 594 595 596 597 600 603 604 605 610 613,1000,17
ac19_109,YXXyx,YYYYYYYYXyyyyyyyx,10,616 617 618 619 620 621 622 623 624 625,1000,21
ac19_112,YXXyx,YYYXYYXYxyXyXyyXyX,1,634,1000,17
ac19_113,YXyXXyx,YYYxxxyXyyX,6,635 25772 38420 41490 50383 68259,1000,13
ac19_130,YXYXyx,YYYxxYxyXXyyX,2,652 50815,1000,17
ac19_134,YYXXYXyyx,YYYXXXYXyyX,4,656 46796 68445 138605,1000,17
ac19_175,YXYXyx,YYYYXyyyXXXYx,2,698 66077,1000,17
ac19_177,YXXXXyXYx,YXXyxYXXXX,10,700 32509 34787 60573 73698 99467 105028 107113 122978 155252,1000,14
ac19_183,YYXXyxx,YYYXYYXyx,10,707 22315 65746 67431 75660 80216 83459 101643 103856 134094,1000,16
ac19_185,YYXXXyx,YXXXXXYxx,20,709 10265 21266 34872 35848 40921 42396 47221 49437 73185 82256 98631 119693 123085 123726 129302 132448 136886 147088 150025,1000,14
ac19_242,YXYXyx,YYXyXyyxyxxYx,2,769 35507,1000,16
ac19_252,YYXXyx,YYXXYxxxxyXXX,3,779 67776 97185,1000,15
ac19_286,YXXyx,YYYYXyyyxyXyXX,1,814,1000,17
ac19_294,YXXYxYxx,YYYxxYXYx,2,822 73048,1000,15
ac19_346,YXXyxYx,YYXXYYxxx,3,876 16772 77771,1000,14
ac19_353,YXYxyx,YYXXXyyXyXyxYxx,3,883 32987 48765,1000,19
ac19_368,YYXXyx,YYYYXyyyyxx,8,898 17442 26942 76387 101688 112820 118395 151156,1000,15
ac19_384,YXYXyx,YYYXyxyXyXXXYYx,2,914 8983,1000,19
ac19_399,YXyxYXXyx,YYXyXXXyxYX,1,929,1000,17
ac19_420,YYXXXyX,YYXyyxxyxx,1,950,1000,15
ac19_434,YXXyx,YYYYYYXyxyyxxyyx,1,964,1000,16
ac19_472,YXYXyx,YYXYxYYxyyXXX,2,1003 71312,1000,15
ac19_525,YXyXXyx,YYYxxxyyXyX,1,1060,1000,16
ac19_527,YXyXXyx,YYxyxYxyxyxYXYXyxYx,1,1062,1000,17
ac19_548,YXyXXXyx,YYxYxxxyxyX,2,1084 33584,1000,17
