name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_88,YXXyx,YYYYYYXyyyyyx,20,464 466 559 560 562 564 565 566 569 572 575 576 582 588 18756 42582 80564 95063 95680 130078,1000,16
ac19_99,YYXXyxx,YXXXXXXXXyxxxxxxx,6,527 529 628 629 630 633,1000,19
ac19_105,YYXXXXyX,YXXXXXyxxxxxx,6,581 586 60449 71264 98145 132273,1000,16
ac19_106,YXXyx,YYYYYYYXyyyyyyx,14,590 591 592 593 594 595 596 597 600 603 604 605 610 613,1000,17
ac19_109,YXXyx,YYYYYYYYXyyyyyyyx,10,616 617 618 619 620 621 622 623 624 625,1000,18
ac19_112,YXXyx,YYYXYYXYxyXyXyyXyX,1,634,1000,17
ac19_113,YXyXXyx,YYYxxxyXyyX,6,635 25772 38420 41490 50383 68259,1000,14
ac19_130,YXYXyx,YYYxxYxyXXyyX,2,652 50815,1000,16
ac19_139,YXXyx,YYYXyyyXXXXXyXX,2,661 135375,1000,16
ac19_150,YXXyx,YYXyyXyXXYXYX,5,672 8506 18135 30024 134340,1000,16
ac19_175,YXYXyx,YYYYXyyyXXXYx,2,698 66077,1000,17
ac19_182,YXXyx,YYYXyxyyXXXYX,5,705 8871 20421 26300 123101,1000,16
ac19_208,YXXyx,YYXYYxyyxxyxxxx,2,732 2618,1000,16
ac19_221,YXXyx,YYXYYxyyxyxxx,6,746 4203 42026 72086 82011 100075,1000,16
ac19_227,YXYXyx,YYXyXXyyxxx,5,754 4010 33778 55438 63321,1000,16
ac19_239,YXXYxxyx,YYxxxYxxyXXYx,2,766 144672,1000,18
ac19_242,YXYXyx,YYXyXyyxyxxYx,2,769 35507,1000,17
ac19_243,YXXyx,YYYXYXyyyXyXYX,3,770 29140 46187,1000,16
ac19_286,YXXyx,YYYYXyyyxyXyXX,1,814,1000,18
ac19_365,YXXyx,YYYYXyxyXyXXXXX,2,895 99139,1000,17
ac19_384,YXYXyx,YYYXyxyXyXXXYYx,2,914 8983,1000,17
ac19_403,YXXyx,YYYXyxyyxyyxYx,4,933 32775 65733 117341,1000,16
ac19_432,YXXyx,YYYYXyXyXyXX,6,962 3511 16458 36906 94872 146427,1000,15
ac19_434,YXXyx,YYYYYYXyxyyxxyyx,1,964,1000,17
ac19_463,YXYXyx,YYYYXyXyyxx,6,994 7294 16885 46099 61177 91046,1000,13
ac19_471,YXXyx,YYYYXyyXyyyxx,3,1002 123791 150206,1000,16
ac19_472,YXYXyx,YYXYxYYxyyXXX,2,1003 71312,1000,17
ac19_480,YXyXXyx,YYXYXyXyxyx,4,1013 13654 113521 146225,1000,16
ac19_522,YXXyx,YYYXyyyXXYXX,3,1057 56177 150175,1000,16
ac19_525,YXyXXyx,YYYxxxyyXyX,1,1060,1000,15
ac19_527,YXyXXyx,YYxyxYxyxyxYXYXyxYx,1,1062,1000,17
ac19_548,YXyXXXyx,YYxYxxxyxyX,2,1084 33584,1000,15
ac19_557,YXXyx,YYYYYYXyyXyyyX,2,1093 44948,1000,16
