[hard-expand] 590 hard rows; 0 cells done; remain=11.64h
  +20 2.77/s remain=11.64h
  +40 2.29/s remain=11.63h
  +60 2.33/s remain=11.63h
  +80 1.96/s remain=11.63h
  +100 1.82/s remain=11.62h
  +120 1.87/s remain=11.62h
  +140 1.90/s remain=11.62h
  +160 1.91/s remain=11.61h
  +180 2.00/s remain=11.61h
  +200 1.98/s remain=11.61h
  +220 1.94/s remain=11.61h
  +240 1.96/s remain=11.60h
  +260 1.94/s remain=11.60h
  +280 1.94/s remain=11.60h
  +300 1.93/s remain=11.59h
  +320 1.99/s remain=11.59h
  +340 1.97/s remain=11.59h
  +360 1.98/s remain=11.59h
  +380 1.99/s remain=11.58h
  +400 2.01/s remain=11.58h
  +420 2.04/s remain=11.58h
  +440 2.08/s remain=11.58h
  +460 2.08/s remain=11.58h
  +480 2.07/s remain=11.57h
  +500 2.09/s remain=11.57h
  +520 2.11/s remain=11.57h
  +540 2.13/s remain=11.57h
  +560 2.14/s remain=11.56h
  +580 2.16/s remain=11.56h
  +600 2.18/s remain=11.56h
  +620 2.21/s remain=11.56h
  +640 2.20/s remain=11.56h
  +660 2.24/s remain=11.56h
  +680 2.19/s remain=11.55h
  +700 2.20/s remain=11.55h
  +720 2.21/s remain=11.55h
  +740 2.21/s remain=11.54h
  +760 2.22/s remain=11.54h
  +780 2.21/s remain=11.54h
  +800 2.21/s remain=11.54h
  +820 2.22/s remain=11.53h
  +840 2.24/s remain=11.53h
  +860 2.25/s remain=11.53h
  +880 2.26/s remain=11.53h
  +900 2.26/s remain=11.53h
  +920 2.26/s remain=11.52h
  +940 2.26/s remain=11.52h
  +960 2.28/s remain=11.52h
  +980 2.27/s remain=11.52h
  +1000 2.28/s remain=11.52h
  +1020 2.28/s remain=11.51h
  +1040 2.29/s remain=11.51h
  +1060 2.31/s remain=11.51h
  +1080 2.32/s remain=11.51h
  +1100 2.30/s remain=11.50h
  +1120 2.30/s remain=11.50h
  +1140 2.31/s remain=11.50h
  +1160 2.30/s remain=11.50h
  +1180 2.31/s remain=11.50h
  +1200 2.32/s remain=11.49h
  +1220 2.32/s remain=11.49h
  +1240 2.32/s remain=11.49h
  +1260 2.33/s remain=11.49h
  +1280 2.35/s remain=11.49h
  +1300 2.36/s remain=11.48h
  +1320 2.37/s remain=11.48h
  +1340 2.37/s remain=11.48h
  +1360 2.35/s remain=11.48h
  +1380 2.34/s remain=11.47h
  +1400 2.34/s remain=11.47h
  +1420 2.34/s remain=11.47h
  +1440 2.32/s remain=11.46h
  +1460 2.32/s remain=11.46h
  +1480 2.31/s remain=11.46h
  +1500 2.31/s remain=11.46h
  +1520 2.29/s remain=11.45h
  +1540 2.28/s remain=11.45h
  +1560 2.27/s remain=11.45h
  +1580 2.27/s remain=11.44h
  +1600 2.28/s remain=11.44h
  +1620 2.28/s remain=11.44h
  +1640 2.27/s remain=11.44h
  +1660 2.27/s remain=11.43h
