pres_id,name,bin,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,length_tiep1_solved,length_tiep1_nodes,length_tiep1_path,length_tiem1_solved,length_tiem1_nodes,length_tiem1_path,s20_mk2_tiep1_solved,s20_mk2_tiep1_nodes,s20_mk2_tiep1_path,s20_mk2_tiem1_solved,s20_mk2_tiem1_nodes,s20_mk2_tiem1_path
0,ms0,0,True,3,2,True,3,2,True,3,2,True,3,2,True,3,2
228,ms228,0,True,9,7,True,9,7,True,9,7,True,8,7,True,8,7
323,ms323,0,True,7,6,True,7,6,True,7,6,True,7,6,True,7,6
455,ms455,0,True,10,9,True,10,9,True,10,9,True,9,8,True,9,8
496,ms496,0,True,4,3,True,4,3,True,4,3,True,4,3,True,4,3
521,ms521,0,True,5,4,True,5,4,True,5,4,True,5,4,True,5,4
43,ms43,1,True,13,9,True,13,9,True,15,9,True,10,9,True,10,9
48,ms48,1,True,18,11,True,18,11,True,15,11,True,13,11,True,12,11
77,ms77,1,True,11,8,True,11,8,True,11,10,True,9,8,True,9,8
141,ms141,1,True,12,10,True,12,10,True,11,10,True,23,10,True,25,10
155,ms155,1,True,18,12,True,18,12,True,17,12,True,16,12,True,15,14
505,ms505,1,True,34,23,True,34,23,True,28,25,True,138,41,True,130,42
201,ms201,2,True,61,15,True,61,15,True,43,18,True,39,13,True,38,13
217,ms217,2,True,57,13,True,57,13,True,35,16,True,36,11,True,36,11
247,ms247,2,True,46,9,True,46,9,True,45,14,True,16,10,True,17,13
288,ms288,2,True,106,17,True,106,17,True,150,24,True,40,18,True,40,20
331,ms331,2,True,93,24,True,93,24,True,59,28,True,43,16,True,14,11
367,ms367,2,True,83,21,True,83,21,True,139,28,True,47,17,True,54,28
203,ms203,3,True,116,16,True,116,16,True,115,26,True,39,17,True,39,23
265,ms265,3,True,121,21,True,121,21,True,130,26,True,52,22,True,51,25
327,ms327,3,True,273,29,True,273,29,True,332,29,True,108,28,True,98,29
333,ms333,3,True,313,35,True,313,35,True,310,58,True,179,29,True,144,31
380,ms380,3,True,381,39,True,381,39,True,309,54,True,190,34,True,178,37
579,ms579,3,True,366,26,True,366,26,True,511,45,True,78,25,True,54,22
533,ms533,4,True,438,43,True,438,43,True,311,52,True,190,36,True,178,39
546,ms546,4,True,398,24,True,398,24,True,596,51,True,94,23,True,80,24
548,ms548,4,True,661,28,True,661,28,True,770,34,True,286,26,True,300,23
580,ms580,4,True,875,47,True,875,47,True,899,54,True,177,38,True,182,40
589,ms589,4,True,558,46,True,558,46,False,1000,,True,379,28,True,521,63
609,ms609,4,False,1000,,False,1000,,False,1000,,True,243,42,True,208,42
538,ms538,5,False,1000,,False,1000,,False,1000,,True,338,22,True,426,46
543,ms543,5,False,1000,,False,1000,,False,1000,,True,551,77,True,416,83
544,ms544,5,False,1000,,False,1000,,False,1000,,True,551,73,True,417,79
549,ms549,5,False,1000,,False,1000,,False,1000,,True,391,68,True,416,81
565,ms565,5,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
606,ms606,5,False,1000,,False,1000,,False,1000,,True,438,48,True,444,60
573,ms573,6,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
575,ms575,6,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
581,ms581,6,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
586,ms586,6,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
602,ms602,6,False,1000,,False,1000,,False,1000,,True,452,46,True,415,51
632,ms632,6,False,1000,,False,1000,,False,1000,,True,456,49,True,406,53
568,ms568,7,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
578,ms578,7,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
583,ms583,7,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
596,ms596,7,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
628,ms628,7,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
633,ms633,7,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
605,ms605,8,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
610,ms610,8,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
622,ms622,8,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
623,ms623,8,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
624,ms624,8,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
625,ms625,8,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
634,ms634,9,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
635,ms635,9,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
636,ms636,9,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
637,ms637,9,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
638,ms638,9,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
639,ms639,9,False,1000,,False,1000,,False,1000,,False,1000,,False,1000,
