rank,arm,solved,n,mean_nodes,wF
1,s20_mk2_F4,55,120,437.03636363636366,4.0
2,s20_mk2_F2,54,120,398.4074074074074,2.0
3,s20_mk2,54,120,453.55555555555554,0.0
4,s20_mk2_F8,50,120,422.5,8.0
5,s20,49,120,431.51020408163265,0.0
6,s20_F2,47,120,419.6170212765957,2.0
7,s20_F4,47,120,442.29787234042556,4.0
8,s20_F8,41,120,463.0243902439024,8.0
9,s20_mk2_F16,39,120,539.1794871794872,16.0
10,length_F4,30,120,513.3,4.0
11,s20_F16,29,120,367.82758620689657,16.0
12,length_F8,29,120,500.37931034482756,8.0
13,length_F16,23,120,430.39130434782606,16.0
14,length_F2,15,120,674.0,2.0
15,length,0,120,,0.0
