pres_id,bin,greedy_nodes,hybrid_charged_nodes,greedy_path,hybrid_path,hybrid_substitutions,hybrid_basis_transforms,hybrid_winner,hybrid_max_relator_length
0,0,3,4,2,3,2,1,rewrite,5
496,0,4,7,3,3,2,1,s40_gen,15
521,0,5,9,4,4,4,0,s40_gen,17
323,0,7,13,6,6,6,0,s40_gen,9
228,0,9,10,7,7,7,0,s40_gen,7
455,0,10,11,9,8,8,0,s40_gen,11
77,1,11,11,8,10,9,1,rewrite,8
43,1,13,12,9,11,9,2,rewrite,7
141,1,12,13,10,12,11,1,rewrite,9
48,1,18,14,11,13,12,1,rewrite,9
155,1,18,15,12,14,13,1,rewrite,11
505,1,34,34,23,18,16,2,s40_gen,15
247,2,46,15,9,8,7,1,s40_gen,8
217,2,57,18,13,12,9,3,s40_gen,8
201,2,61,21,15,12,9,3,s40_gen,8
288,2,106,43,17,13,10,3,s40_gen,9
367,2,83,38,21,15,11,4,s40_gen,11
331,2,93,26,24,11,8,3,s40_gen,10
203,3,116,45,16,12,9,3,s40_gen,9
265,3,121,46,21,15,11,4,s40_gen,9
579,3,366,22,26,16,12,4,s40_gen,13
327,3,273,31,29,18,13,5,s40_gen,9
333,3,313,19,35,18,16,2,rewrite,11
380,3,381,36,39,21,15,6,s40_gen,11
546,4,398,129,24,17,13,4,s40_gen,13
548,4,661,83,28,27,20,7,s40_gen,11
533,4,438,37,43,21,15,6,s40_gen,11
589,4,558,47,46,21,15,6,s40_gen,13
580,4,875,30,47,24,18,6,s40_gen,13
609,4,1217,79,56,27,20,7,s40_gen,15
538,5,2261,114,25,25,19,6,s40_gen,12
606,5,2023,30,39,20,14,6,s40_gen,15
544,5,1569,36,75,35,32,3,rewrite,19
549,5,1411,119,79,40,29,11,s40_gen,13
543,5,1813,104,81,38,28,10,s40_gen,13
565,5,1404,67,145,66,64,2,rewrite,35
602,6,6285,41,56,25,18,7,s40_gen,15
632,6,6425,83,56,34,26,8,s40_gen,17
573,6,13393,144,63,38,22,16,s40_gen,13
586,6,9162,382,153,71,53,18,s40_gen,17
581,6,9567,404,153,71,49,22,s40_gen,17
575,6,14383,68,156,67,64,3,rewrite,35
568,7,15814,225,48,35,25,10,s40_gen,13
578,7,15873,226,50,34,25,9,s40_gen,13
583,7,16111,228,52,33,24,9,s40_gen,13
628,7,26774,151,81,34,27,7,s40_gen,17
633,7,26838,151,83,34,27,7,s40_gen,17
596,7,16168,131,337,130,128,2,rewrite,67
605,8,60593,132,307,131,128,3,rewrite,67
610,8,61366,133,309,132,128,4,rewrite,67
625,8,78770,260,665,259,256,3,rewrite,131
622,8,78774,259,671,258,256,2,rewrite,131
624,8,59971,260,706,259,256,3,rewrite,131
623,8,59710,259,708,258,256,2,rewrite,131
634,9,574348,158,80,34,27,7,s40_gen,15
635,9,574959,161,80,34,26,8,s40_gen,15
637,9,271866,260,667,259,256,3,rewrite,131
639,9,272953,261,669,260,256,4,rewrite,131
638,9,213878,260,672,259,256,3,rewrite,131
636,9,213882,261,678,260,256,4,rewrite,131
