name,bin,greedy_nodes_1M,greedy_path_1M,baseline_solved,s12_solved,s28_solved,s20_mk2_solved,s24_k1_mk2_solved,baseline_nodes,s12_nodes,s28_nodes,s20_mk2_nodes,s24_k1_mk2_nodes,baseline_path,s12_path,s28_path,s20_mk2_path,s24_k1_mk2_path
ms0,0,3,2,True,True,True,True,True,3,3,3,3,3,2,2,2,2,2
ms496,0,4,3,True,True,True,True,True,4,4,4,4,4,3,3,3,3,3
ms521,0,5,4,True,True,True,True,True,5,5,5,5,5,4,4,4,4,4
ms323,0,7,6,True,True,True,True,True,7,7,7,7,7,6,6,6,6,6
ms228,0,9,7,True,True,True,True,True,9,8,8,8,8,7,7,7,7,7
ms455,0,10,9,True,True,True,True,True,10,9,9,9,9,9,8,8,8,8
ms77,1,11,8,True,True,True,True,True,11,9,9,9,9,8,8,8,8,8
ms141,1,12,10,True,True,True,True,True,12,18,28,23,23,10,11,11,10,10
ms43,1,13,9,True,True,True,True,True,13,10,10,10,10,9,9,9,9,9
ms155,1,18,12,True,True,True,True,True,18,16,16,16,16,12,12,12,12,12
ms48,1,18,11,True,True,True,True,True,18,13,13,13,13,11,11,11,11,11
ms505,1,34,23,True,True,True,True,True,34,65,124,138,137,23,25,32,41,43
ms247,2,46,9,True,True,True,True,True,46,16,16,16,18,9,10,10,10,10
ms217,2,57,13,True,True,True,True,True,57,26,50,36,33,13,13,13,11,17
ms201,2,61,15,True,True,True,True,True,61,31,54,39,38,15,15,13,13,19
ms367,2,83,21,True,True,True,True,True,83,45,111,47,55,21,20,19,17,24
ms331,2,93,24,True,True,True,True,True,93,47,33,43,40,24,25,11,16,20
ms288,2,106,17,True,True,True,True,True,106,48,77,40,33,17,18,14,18,18
ms203,3,116,16,True,True,True,True,True,116,40,82,39,34,16,17,14,17,17
ms265,3,121,21,True,True,True,True,True,121,55,100,52,44,21,22,19,22,22
ms327,3,273,29,True,True,True,True,True,273,115,119,108,96,29,24,26,28,28
ms333,3,313,35,True,True,True,True,True,313,78,128,179,147,35,27,30,29,29
ms579,3,366,26,True,True,True,True,True,366,125,87,78,63,26,36,21,25,31
ms380,3,381,39,True,True,True,True,True,381,88,231,190,155,39,32,45,34,34
ms546,4,398,24,True,True,True,True,True,398,189,165,94,73,24,34,22,23,21
ms533,4,438,43,True,True,True,True,True,438,121,237,190,155,43,34,44,36,36
ms589,4,558,46,True,True,True,True,True,558,194,136,379,265,46,32,32,28,50
ms548,4,661,28,True,True,True,True,True,661,136,81,286,174,28,26,26,26,37
ms580,4,875,47,True,True,True,True,True,875,316,274,177,145,47,50,48,38,39
ms609,4,1217,56,True,True,True,True,True,1217,321,274,243,361,56,44,46,42,44
ms565,5,1404,145,True,True,True,True,True,1404,1227,1794,2390,2547,145,141,170,178,160
ms549,5,1411,79,True,True,True,True,True,1411,626,799,391,623,79,66,71,68,69
ms544,5,1569,75,True,True,True,True,True,1569,408,704,551,682,75,68,85,73,71
ms543,5,1813,81,True,True,True,True,True,1813,435,705,551,698,81,74,89,77,75
ms606,5,2023,39,True,True,True,True,True,2023,574,390,438,516,39,36,34,48,59
ms538,5,2261,25,True,True,True,True,True,2261,790,260,338,256,25,25,23,22,44
ms602,6,6285,56,True,True,True,True,True,6285,1379,971,452,875,56,56,64,46,52
ms632,6,6425,56,True,True,True,True,True,6425,1282,888,456,885,56,56,65,49,53
ms586,6,9162,153,True,True,True,True,True,9162,4453,6247,1572,2524,153,165,173,166,166
ms581,6,9567,153,True,True,True,True,True,9567,4492,6183,1584,2470,153,169,171,162,158
ms573,6,13393,63,True,True,True,True,True,13393,4004,2234,1729,2734,63,53,52,54,69
ms575,6,14383,156,True,True,True,True,True,14383,4055,2924,3195,2553,156,143,172,181,163
ms568,7,15814,48,True,True,True,True,True,15814,5364,8016,1724,2801,48,48,49,45,62
ms578,7,15873,50,True,True,True,True,True,15873,5410,8067,1734,2810,50,50,51,48,65
ms583,7,16111,52,True,True,True,True,True,16111,5434,8067,1721,2801,52,50,51,48,62
ms596,7,16168,337,True,True,True,True,True,16168,6328,5530,9079,11458,337,313,350,380,323
ms628,7,26774,81,True,True,True,True,True,26774,13558,10196,7092,6010,81,78,80,117,115
ms633,7,26838,83,True,True,True,True,True,26838,13690,10192,7081,5973,83,78,80,111,111
ms623,8,59710,708,True,True,True,True,True,59710,40835,68677,19878,43296,708,634,702,723,695
ms624,8,59971,706,True,True,True,True,True,59971,40822,68876,19922,43267,706,635,698,721,690
ms605,8,60593,307,,True,True,True,True,,38296,27731,5447,10999,,359,318,340,321
ms610,8,61366,309,,True,True,True,True,,38339,27712,5436,10981,,359,317,338,322
ms625,8,78770,665,,True,True,True,True,,28157,40801,34228,43284,,655,692,776,695
ms622,8,78774,671,,True,True,True,True,,28161,40786,34221,43311,,655,688,784,700
ms638,9,213878,672,,True,True,True,True,,94644,159214,34537,43320,,722,697,787,703
ms636,9,213882,678,,True,True,True,True,,94523,159193,34544,43291,,722,701,779,698
ms637,9,271866,667,,True,True,True,True,,110314,163343,21257,43296,,715,686,726,698
ms639,9,272953,669,,True,True,True,True,,110405,163033,21265,43267,,723,681,724,693
ms634,9,574348,80,,True,True,True,True,,136199,1059,3165,6474,,77,66,66,83
ms635,9,574959,80,,True,True,True,True,,136181,1053,3169,6478,,77,67,66,83
