name,kind,mu,short_relator,bin,bin_lo_nodes,bin_hi_nodes,baseline_nodes,baseline_solved,baseline_censored_at_100k,baseline_path,s12_solved,s12_nodes,s12_path,s28_solved,s28_nodes,s28_path,s20_mk2_solved,s20_mk2_nodes,s20_mk2_path,s24_k1_mk2_solved,s24_k1_mk2_nodes,s24_k1_mk2_path,difficulty_rank
orb_0004,moved_cov,9,True,0,3,10,2,True,False,1,True,2,1,True,2,1,True,2,1,True,2,1,0
orb_0005,moved_cov,9,True,0,3,10,2,True,False,1,True,2,1,True,2,1,True,2,1,True,2,1,1
orb_0014,moved_cov,11,True,0,3,10,2,True,False,1,True,2,1,True,2,1,True,2,1,True,2,1,2
orb_0015,moved_cov,11,True,0,3,10,2,True,False,1,True,2,1,True,2,1,True,2,1,True,2,1,3
orb_0040,moved_cov,13,True,0,3,10,2,True,False,1,True,2,1,True,2,1,True,2,1,True,2,1,4
orb_0041,moved_cov,13,True,0,3,10,2,True,False,1,True,2,1,True,2,1,True,2,1,True,2,1,5
orb_0002,seed,8,True,0,3,10,3,True,False,2,True,3,2,True,3,2,True,3,2,True,3,2,6
orb_0010,moved_cov,10,True,0,3,10,3,True,False,2,True,3,2,True,3,2,True,3,2,True,3,2,7
orb_0028,seed,12,True,0,3,10,3,True,False,2,True,3,2,True,3,2,True,3,2,True,3,2,8
orb_0089,seed,14,True,0,3,10,3,True,False,2,True,3,2,True,3,2,True,3,2,True,3,2,9
orb_0001,moved_cov,7,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,10
orb_0003,moved_cov,9,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,11
orb_0006,moved_cov,9,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,12
orb_0007,moved_cov,9,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,13
orb_0008,moved_cov,9,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,14
orb_0016,moved_cov,11,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,15
orb_0017,moved_cov,11,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,16
orb_0018,moved_cov,11,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,17
orb_0022,seed,11,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,18
orb_0031,seed,12,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,19
orb_0033,seed,12,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,20
orb_0042,moved_cov,13,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,21
orb_0043,moved_cov,13,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,22
orb_0044,moved_cov,13,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,23
orb_0101,moved_cov,14,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,24
orb_0105,moved_cov,14,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,25
orb_0122,seed,14,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,26
orb_0126,seed,14,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,27
orb_0130,moved_cov,15,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,28
orb_0131,moved_cov,15,True,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,29
orb_0136,seed,15,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,30
orb_0346,moved_cov,18,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,31
orb_0355,moved_cov,18,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,32
orb_0696,moved_cov,22,False,0,3,10,4,True,False,3,True,4,3,True,4,3,True,4,3,True,4,3,33
orb_0009,moved_cov,10,True,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,34
orb_0019,moved_cov,11,True,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,35
orb_0021,seed,11,False,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,36
orb_0027,moved_cov,12,True,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,37
orb_0052,seed,13,False,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,38
orb_0054,seed,13,False,0,3,10,5,True,False,4,True,7,6,True,7,6,True,7,6,True,7,6,39
orb_0056,seed,13,False,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,40
orb_0065,seed,13,False,0,3,10,5,True,False,4,True,5,4,True,6,5,True,5,4,True,5,4,41
orb_0068,seed,13,False,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,42
orb_0070,seed,13,False,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,43
orb_0084,seed,13,False,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,44
orb_0087,moved_cov,14,True,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,45
orb_0088,moved_cov,14,True,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,46
orb_0090,moved_cov,14,False,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,47
orb_0189,moved_cov,16,True,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,48
orb_0275,moved_cov,17,False,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,49
orb_0318,moved_cov,18,True,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,50
orb_0319,moved_cov,18,True,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,51
orb_0362,moved_cov,18,False,0,3,10,5,True,False,4,True,6,5,True,6,5,True,5,4,True,5,4,52
orb_0490,moved_cov,20,True,0,3,10,5,True,False,4,True,5,4,True,5,4,True,5,4,True,5,4,53
orb_0032,seed,12,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,54
orb_0039,moved_cov,13,True,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,55
orb_0098,moved_cov,14,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,56
orb_0107,moved_cov,14,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,57
orb_0117,seed,14,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,58
orb_0124,moved_cov,14,False,0,3,10,6,True,False,5,True,7,6,True,7,6,True,6,5,True,6,5,59
orb_0215,seed,16,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,60
orb_0283,seed,17,False,0,3,10,6,True,False,5,True,5,4,True,5,4,True,5,4,True,5,4,61
orb_0299,seed,17,False,0,3,10,6,True,False,5,True,5,4,True,5,4,True,5,4,True,5,4,62
orb_0338,moved_cov,18,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,63
orb_0024,seed,11,False,0,3,10,7,True,False,6,True,9,8,True,9,8,True,9,8,True,9,8,64
orb_0026,moved_cov,12,True,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,65
orb_0055,seed,13,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,66
orb_0058,seed,13,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,67
orb_0067,seed,13,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,68
orb_0135,seed,15,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,69
orb_0239,moved_cov,17,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,70
orb_0281,seed,17,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,71
