pres_id,bin,name,r1,r2,greedy_10k,greedy_nodes,greedy_path,s20_mk2_10k,s20_mk2_solved_at,s20_mk2_path,s20_mk2_1m_nodes
0,0,ms0,YYXyx,Yx,True,3,2,True,3,2,3
228,0,ms228,YYYXyyx,YYXXYYx,True,9,7,True,8,7,8
323,0,ms323,YYYYYx,YYYYXyyyx,True,7,6,True,7,6,7
455,0,ms455,YYYYYXyyyyx,YYYYxYXX,True,10,9,True,9,8,9
496,0,ms496,YYYYYYYXyyyyyyx,YYX,True,4,3,True,4,3,4
521,0,ms521,YYYYYYYYXyyyyyyyx,YYYx,True,5,4,True,5,4,5
43,1,ms43,YYXyx,YYxYxYX,True,13,9,True,10,9,10
48,1,ms48,YYYxxYX,YYXyx,True,18,11,True,13,11,13
77,1,ms77,YYXyx,YXyXXyxx,True,11,8,True,9,8,9
141,1,ms141,YYXyx,YXyXyxxx,True,12,10,True,23,10,23
155,1,ms155,YYYYxyXX,YYXyx,True,18,12,True,16,12,16
505,1,ms505,YYYYYYYXyyyyyyx,YYXyyxx,True,34,23,True,138,41,138
201,2,ms201,YYYXyyx,YYXYxYx,True,61,15,True,39,13,39
217,2,ms217,YYYXyyx,YYYxxyX,True,57,13,True,36,11,36
247,2,ms247,YYYXyyx,YYXyyXyx,True,46,9,True,16,10,16
288,2,ms288,YYYYXXYx,YYYXyyx,True,106,17,True,40,18,40
331,2,ms331,YYYYXyyyx,YYXYxYx,True,93,24,True,43,16,43
367,2,ms367,YYYYXyyyx,YYXYYxYx,True,83,21,True,47,17,47
203,3,ms203,YYYXyyx,YYxYXYx,True,116,16,True,39,17,39
265,3,ms265,YYYXyyx,YYYxYxYX,True,121,21,True,52,22,52
327,3,ms327,YYYYXyyyx,YYxYXX,True,273,29,True,108,28,108
333,3,ms333,YYYYXyyyx,YYxyXYx,True,313,35,True,179,29,179
380,3,ms380,YYYYXyyyx,YYYYxxyX,True,381,39,True,190,34,190
579,3,ms579,YYYYYYXyyyyyx,YYYXYYxx,True,366,26,True,78,25,78
533,4,ms533,YYYYXyyyx,YYYXYxYx,True,438,43,True,190,36,190
546,4,ms546,YYYYYXyyyyx,YYXYYxYx,True,398,24,True,94,23,94
548,4,ms548,YYYYYXyyyyx,YYxYYxyX,True,661,28,True,286,26,286
580,4,ms580,YYYYYYXyyyyyx,YYYxxYYX,True,875,47,True,177,38,177
589,4,ms589,YYYYYYXyyyyyx,YYYXYXYx,True,558,46,True,379,28,379
609,4,ms609,YYYYYYYXyyyyyyx,YYYxYxyX,True,1217,56,True,243,42,243
538,5,ms538,YYYYYXyyyyx,YYxYxYX,True,2261,25,True,338,22,338
543,5,ms543,YYYYYXyyyyx,YYYYXYxx,True,1813,81,True,551,77,551
544,5,ms544,YYYYYXyyyyx,YYYxyXYx,True,1569,75,True,551,73,551
549,5,ms549,YYYYYXyyyyx,YYYxYxYX,True,1411,79,True,391,68,391
565,5,ms565,YYYYYYXyyyyyx,YYxyXYx,True,1404,145,True,2390,178,2390
606,5,ms606,YYYYYYYXyyyyyyx,YYYxxYYX,True,2023,39,True,438,48,438
573,6,ms573,YYYYYYXyyyyyx,YYYYXYxx,False,10000,,True,1729,54,1729
575,6,ms575,YYYYYYXyyyyyx,YYYxyXYx,False,10000,,True,3195,181,3195
581,6,ms581,YYYYYYXyyyyyx,YYYYxxYX,True,9567,153,True,1584,162,1584
586,6,ms586,YYYYYYXyyyyyx,YYYYxYXX,True,9162,153,True,1572,166,1572
602,6,ms602,YYYYYYYXyyyyyyx,YYYxYXX,True,6285,56,True,452,46,452
632,6,ms632,YYYYYYYYXyyyyyyyx,YYYYXXYx,True,6425,56,True,456,49,456
568,7,ms568,YYYYYYXyyyyyx,YYXYXyx,False,10000,,True,1724,45,1724
578,7,ms578,YYYYYYXyyyyyx,YYXYYXyx,False,10000,,True,1734,48,1734
583,7,ms583,YYYYYYXyyyyyx,YYXyxYYx,False,10000,,True,1721,48,1721
596,7,ms596,YYYYYYYXyyyyyyx,YYxyXYx,False,10000,,True,9079,380,9079
628,7,ms628,YYYYYYYYXyyyyyyyx,YYXyXyyx,False,10000,,True,7092,117,7092
633,7,ms633,YYYYYYYYXyyyyyyyx,YYXyyxyx,False,10000,,True,7081,111,7081
605,8,ms605,YYYYYYYXyyyyyyx,YYYXyxYX,False,10000,,True,5447,340,5447
610,8,ms610,YYYYYYYXyyyyyyx,YYYxYXyx,False,10000,,True,5436,338,5436
622,8,ms622,YYYYYYYYXyyyyyyyx,YYxyXYx,False,10000,,False,34221,784,34221
623,8,ms623,YYYYYYYYXyyyyyyyx,YYXyxYX,False,10000,,False,19878,723,19878
624,8,ms624,YYYYYYYYXyyyyyyyx,YYxYXyx,False,10000,,False,19922,721,19922
625,8,ms625,YYYYYYYYXyyyyyyyx,YYXYxyX,False,10000,,False,34228,776,34228
634,9,ms634,YYYYYYYXyyyyyyx,YYYXyyxx,False,10000,,True,3165,66,3165
635,9,ms635,YYYYYYYXyyyyyyx,YYYXXyyx,False,10000,,True,3169,66,3169
636,9,ms636,YYYYYYYYXyyyyyyyx,YYYXYxyX,False,10000,,False,34544,779,34544
637,9,ms637,YYYYYYYYXyyyyyyyx,YYYXyxYX,False,10000,,False,21257,726,21257
638,9,ms638,YYYYYYYYXyyyyyyyx,YYYxyXYx,False,10000,,False,34537,787,34537
639,9,ms639,YYYYYYYYXyyyyyyyx,YYYxYXyx,False,10000,,False,21265,724,21265
