rank,arm,S,MK,F,solved,n,mean_nodes
1,S28_MK2_F8,28.0,2.0,8.0,57,120,478.64912280701753
2,S20_MK2_F4,20.0,2.0,4.0,55,120,437.03636363636366
3,S28_MK2_F4,28.0,2.0,4.0,55,120,460.6181818181818
4,S20_MK2_F2,20.0,2.0,2.0,54,120,398.4074074074074
5,S24_MK2_F2,24.0,2.0,2.0,54,120,402.5
6,S20_MK2,20.0,2.0,0.0,54,120,453.55555555555554
7,S24_MK2_F8,24.0,2.0,8.0,54,120,456.4259259259259
8,S24_MK2,24.0,2.0,0.0,53,120,397.45283018867923
9,S16_MK2_F4,16.0,2.0,4.0,53,120,421.24528301886795
10,S24_MK2_F4,24.0,2.0,4.0,53,120,427.9433962264151
11,S28_MK4,28.0,4.0,0.0,52,120,402.21153846153845
12,S28_MK2_F2,28.0,2.0,2.0,52,120,433.21153846153845
13,S28_MK2,28.0,2.0,0.0,51,120,355.52941176470586
14,S24_MK4,24.0,4.0,0.0,51,120,435.96078431372547
15,S28_MK4_F4,28.0,4.0,4.0,50,120,385.98
16,S28_MK4_F2,28.0,4.0,2.0,50,120,412.68
17,S24_MK4_F4,24.0,4.0,4.0,50,120,421.7
18,S20_MK2_F8,20.0,2.0,8.0,50,120,422.5
19,S28_MK4_F8,28.0,4.0,8.0,50,120,448.04
20,S20,20.0,0.0,0.0,49,120,431.51020408163265
21,S12_MK2_F4,12.0,2.0,4.0,49,120,452.265306122449
22,S12,12.0,0.0,0.0,49,120,509.9591836734694
23,S28_MK2_F16,28.0,2.0,16.0,49,120,518.5714285714286
24,S12_MK2_F2,12.0,2.0,2.0,48,120,487.1666666666667
25,S16_F4,16.0,0.0,4.0,48,120,494.875
26,S16,16.0,0.0,0.0,48,120,513.7291666666666
27,S16_MK8_F4,16.0,8.0,4.0,47,120,343.1914893617021
28,S20_MK8_F2,20.0,8.0,2.0,47,120,356.8936170212766
29,S16_MK8_F2,16.0,8.0,2.0,47,120,378.25531914893617
30,S16_MK6_418_F2,16.0,6.418,2.0,47,120,381.5531914893617
31,S20_MK10_F8,20.0,10.0,8.0,47,120,387.36170212765956
32,S24_MK4_F2,24.0,4.0,2.0,47,120,388.0425531914894
33,S24_F2,24.0,0.0,2.0,47,120,398.72340425531917
34,S28_F4,28.0,0.0,4.0,47,120,401.93617021276594
35,S20_F2,20.0,0.0,2.0,47,120,419.6170212765957
36,S20_MK6_418,20.0,6.418,0.0,47,120,430.51063829787233
37,S20_F4,20.0,0.0,4.0,47,120,442.29787234042556
38,S16_MK2_F8,16.0,2.0,8.0,47,120,444.8936170212766
39,S20_MK4,20.0,4.0,0.0,47,120,452.3404255319149
40,S16_MK2,16.0,2.0,0.0,47,120,476.6595744680851
41,S20_MK10_F4,20.0,10.0,4.0,46,120,346.3695652173913
42,S20_MK8_F4,20.0,8.0,4.0,46,120,349.60869565217394
