"name","r1","r2","n_members","members","reduced","reduce_kind","mu_in","mu_out","new_r1","new_r2","n_hops","source","ext_label"
"aca_0","YXXyxYx","YYYYYYXyxyX","8","18_6 18_7 21_1 21_36 22_13 22_14 23_21 23_24","no","none","18","none","none","none","none","none","none"
"aca_1","YYXXyxx","YYYxyXyX","6","15_12 15_13 15_14 15_15 21_34 21_37","no","none","15","none","none","none","none","none","none"
"aca_2","YXXyXyx","YYYXyyyxx","5","17_41 17_42 19_37 19_38 20_12","yes","length_only","16","16","YYXYXyx","YYxxxyXXX","none","external_len_table","17_41"
"aca_3","YXXyxYx","YYYYYxyxyX","4","17_1 17_35 20_8 20_9","no","none","17","none","none","none","none","none","none"
"aca_4","YYXXXyx","YYxyxyXyXYX","4","18_11 18_9 19_46 19_52","no","none","18","none","none","none","none","none","none"
"aca_5","YYXXXyX","YYYxyXyxyxyx","4","19_40 19_42 19_47 19_51","no","none","19","none","none","none","none","none","none"
"aca_6","YYXXyxxyx","YXXXXXyxYx","4","19_43 19_48 23_22 23_23","no","none","19","none","none","none","none","none","none"
"aca_7","YYXXyxx","YYYYxYXYX","3","16_10 16_6 16_9","no","none","16","none","none","none","none","none","none"
"aca_8","YXyXYxx","YYXYXyyx","2","15_10 15_11","no","none","15","none","none","none","none","none","none"
"aca_9","YXXXyxx","YYYXXyyX","2","15_2 15_6","no","none","15","none","none","none","none","none","none"
"aca_10","YXXXyxx","YYXYXyyX","2","15_3 15_9","no","none","15","none","none","none","none","none","none"
"aca_11","YXXXyxx","YYYXyxyx","2","15_4 15_7","no","none","15","none","none","none","none","none","none"
"aca_12","YXXXyxx","YYXYxyyX","2","15_5 15_8","no","none","15","none","none","none","none","none","none"
"aca_13","YYXXYYx","YXXXyxxYx","2","16_4 16_5","no","none","16","none","none","none","none","none","none"
"aca_14","YXXyXyx","YYYXyyxx","2","16_7 16_8","yes","length_only","15","15","YYxYxyX","YYXXyxxx","none","external_len_table","16_7"
"aca_15","YXXyXyxx","YYYYxyyyX","2","17_10 17_18","no","none","17","none","none","none","none","none","none"
"aca_16","YYXXXyxx","YXyxxyXYx","2","17_11 17_20","no","none","17","none","none","none","none","none","none"
"aca_17","YXXXYxYx","YYYYXyyyx","2","17_12 17_25","no","none","17","none","none","none","none","none","none"
"aca_18","YXXXyxYx","YYYYxyyyX","2","17_13 17_24","no","none","17","none","none","none","none","none","none"
"aca_19","YXyXYxxx","YYYYXyyyx","2","17_14 17_23","no","none","17","none","none","none","none","none","none"
"aca_20","YXXXyxYx","YYYYXyyyx","2","17_15 17_22","no","none","17","none","none","none","none","none","none"
"aca_21","YXXYxxyX","YYYYxyyyX","2","17_16 17_9","no","none","17","none","none","none","none","none","none"
"aca_22","YXXYxxyx","YYYYxyyyX","2","17_17 17_5","no","none","17","none","none","none","none","none","none"
"aca_23","YXXYxxyx","YYYYXyyyx","2","17_19 17_6","no","none","17","none","none","none","none","none","none"
"aca_24","YYXXXYxx","YYYXXYXYx","2","17_2 17_21","no","none","17","none","none","none","none","none","none"
"aca_25","YXXYxxyX","YYYYXyyyx","2","17_26 17_7","no","none","17","none","none","none","none","none","none"
"aca_26","YXXYxYxx","YYYYxyyyX","2","17_27 17_3","no","none","17","none","none","none","none","none","none"
"aca_27","YXXyXyxx","YYYYXyyyx","2","17_28 17_8","no","none","17","none","none","none","none","none","none"
"aca_28","YXXYxYxx","YYYYXyyyx","2","17_29 17_4","no","none","17","none","none","none","none","none","none"
"aca_29","YYXXXyx","YYxxyxyXyX","2","17_30 17_33","no","none","17","none","none","none","none","none","none"
