presentation_idx,orig_presentation_idx,solved,path_length,path,path_decoded,train_solved,train_path_length
0,0,False,-1,[],[],True,2
1,1,False,-1,[],[],True,2
2,2,False,-1,[],[],True,3
3,3,False,-1,[],[],True,3
4,4,False,-1,[],[],True,4
5,5,False,-1,[],[],True,4
6,6,False,-1,[],[],True,5
7,7,False,-1,[],[],True,3
8,8,False,-1,[],[],True,5
9,9,False,-1,[],[],True,3
10,10,False,-1,[],[],True,5
11,11,False,-1,[],[],True,5
12,12,False,-1,[],[],True,4
13,13,False,-1,[],[],True,6
14,14,False,-1,[],[],True,4
15,15,False,-1,[],[],True,4
16,16,False,-1,[],[],True,2
17,17,False,-1,[],[],True,3
18,18,False,-1,[],[],True,8
19,19,False,-1,[],[],True,6
20,20,False,-1,[],[],True,6
21,21,False,-1,[],[],True,2
22,22,False,-1,[],[],True,4
23,23,False,-1,[],[],True,3
24,24,False,-1,[],[],True,4
25,25,False,-1,[],[],True,6
26,26,False,-1,[],[],True,8
27,27,False,-1,[],[],True,3
28,28,False,-1,[],[],True,6
29,29,False,-1,[],[],True,6
