pres,klass,base_nodes,base_solved,n_cov,n_solved,fewer,equal,more,unsolved,best_cov,frac_fewer,frac_unsolved
331,baseline_solved,93,True,65,39,36,3,0,26,9,0.5538461538461539,0.4
367,baseline_solved,83,True,70,42,33,0,9,28,25,0.4714285714285714,0.4
201,baseline_solved,61,True,48,40,24,0,16,8,10,0.5,0.16666666666666666
217,baseline_solved,57,True,43,35,17,3,15,8,9,0.3953488372093023,0.18604651162790697
247,baseline_solved,46,True,55,43,27,3,13,12,9,0.4909090909090909,0.21818181818181817
505,baseline_solved,34,True,133,25,18,1,6,108,15,0.13533834586466165,0.8120300751879699
48,baseline_solved,18,True,32,28,8,3,17,4,9,0.25,0.125
155,baseline_solved,18,True,36,30,8,1,21,6,9,0.2222222222222222,0.16666666666666666
43,baseline_solved,13,True,36,36,15,1,20,0,7,0.4166666666666667,0.0
141,baseline_solved,12,True,40,35,6,4,25,5,8,0.15,0.125
77,baseline_solved,11,True,43,40,10,4,26,3,7,0.23255813953488372,0.06976744186046512
455,baseline_solved,10,True,85,85,39,9,37,0,3,0.4588235294117647,0.0
228,baseline_solved,9,True,43,43,15,7,21,0,4,0.3488372093023256,0.0
323,baseline_solved,7,True,46,46,21,7,18,0,4,0.45652173913043476,0.0
521,baseline_solved,5,True,143,143,51,21,71,0,3,0.35664335664335667,0.0
496,baseline_solved,4,True,110,110,29,20,61,0,3,0.2636363636363636,0.0
0,baseline_solved,3,True,11,11,2,4,5,0,2,0.18181818181818182,0.0
288,flip,100,False,48,19,13,6,0,29,12,0.2708333333333333,0.6041666666666666
203,flip,100,False,49,23,17,6,0,26,32,0.3469387755102041,0.5306122448979592
265,flip,100,False,52,7,7,0,0,45,62,0.1346153846153846,0.8653846153846154
579,flip,100,False,109,40,40,0,0,69,11,0.3669724770642202,0.6330275229357798
327,flip,100,False,58,5,5,0,0,53,25,0.08620689655172414,0.9137931034482759
333,flip,100,False,65,12,12,0,0,53,22,0.18461538461538463,0.8153846153846154
380,flip,100,False,63,2,2,0,0,61,22,0.031746031746031744,0.9682539682539683
546,flip,100,False,90,17,17,0,0,73,15,0.18888888888888888,0.8111111111111111
548,flip,100,False,91,23,23,0,0,68,13,0.25274725274725274,0.7472527472527473
533,flip,100,False,69,2,2,0,0,67,23,0.028985507246376812,0.9710144927536232
589,flip,100,False,113,19,19,0,0,94,13,0.168141592920354,0.831858407079646
580,flip,100,False,109,1,1,0,0,108,25,0.009174311926605505,0.9908256880733946
609,flip,100,False,140,8,8,0,0,132,37,0.05714285714285714,0.9428571428571428
538,flip,100,False,85,10,10,0,0,75,13,0.11764705882352941,0.8823529411764706
606,flip,100,False,138,26,26,0,0,112,17,0.18840579710144928,0.8115942028985508
602,flip,100,False,134,7,7,0,0,127,37,0.05223880597014925,0.9477611940298507
632,flip,100,False,169,7,7,0,0,162,39,0.04142011834319527,0.9585798816568047
544,never_solved,100,False,89,0,0,0,0,89,,0.0,1.0
549,never_solved,100,False,89,0,0,0,0,89,,0.0,1.0
543,never_solved,100,False,85,0,0,0,0,85,,0.0,1.0
565,never_solved,100,False,109,0,0,0,0,109,,0.0,1.0
573,never_solved,100,False,109,0,0,0,0,109,,0.0,1.0
586,never_solved,100,False,109,0,0,0,0,109,,0.0,1.0
581,never_solved,100,False,109,0,0,0,0,109,,0.0,1.0
575,never_solved,100,False,113,0,0,0,0,113,,0.0,1.0
568,never_solved,100,False,108,0,0,0,0,108,,0.0,1.0
578,never_solved,100,False,115,0,0,0,0,115,,0.0,1.0
583,never_solved,100,False,116,0,0,0,0,116,,0.0,1.0
628,never_solved,100,False,173,0,0,0,0,173,,0.0,1.0
633,never_solved,100,False,173,0,0,0,0,173,,0.0,1.0
596,never_solved,100,False,138,0,0,0,0,138,,0.0,1.0
605,never_solved,100,False,142,0,0,0,0,142,,0.0,1.0
610,never_solved,100,False,141,0,0,0,0,141,,0.0,1.0
625,never_solved,100,False,169,0,0,0,0,169,,0.0,1.0
622,never_solved,100,False,169,0,0,0,0,169,,0.0,1.0
624,never_solved,100,False,169,0,0,0,0,169,,0.0,1.0
623,never_solved,100,False,169,0,0,0,0,169,,0.0,1.0
634,never_solved,100,False,138,0,0,0,0,138,,0.0,1.0
635,never_solved,100,False,134,0,0,0,0,134,,0.0,1.0
637,never_solved,100,False,173,0,0,0,0,173,,0.0,1.0
639,never_solved,100,False,172,0,0,0,0,172,,0.0,1.0
638,never_solved,100,False,173,0,0,0,0,173,,0.0,1.0
636,never_solved,100,False,172,0,0,0,0,172,,0.0,1.0
AK(3),never_solved,100,False,34,0,0,0,0,34,,0.0,1.0
14_1,never_solved,100,False,50,0,0,0,0,50,,0.0,1.0
17_41,never_solved,100,False,62,0,0,0,0,62,,0.0,1.0
19_40,never_solved,100,False,56,0,0,0,0,56,,0.0,1.0
25_17,never_solved,100,False,174,0,0,0,0,174,,0.0,1.0
25_1,never_solved,100,False,169,0,0,0,0,169,,0.0,1.0
