pres_id,kind,nodes_1M,klass,n_cov,n_relabel,n_moved,base_solved,base_nodes,base_path,n_cov_solved,relabel_solved,moved_solved,fewer,equal,more,cov_unsolved,best_z,best_class,best_nodes,best_path,min_path,node_cut,path_cut
0,ladder,,baseline_solved,11,11,0,True,3,2,11,11,0,2,4,5,0,Yxy,relabel,2,1,1,1.5,2.0
141,ladder,,baseline_solved,40,31,9,True,12,10,40,31,9,6,4,30,0,yx,moved,8,7,7,1.5,1.43
155,ladder,,baseline_solved,36,28,8,True,18,12,36,28,8,8,1,27,0,xyX,relabel,9,8,8,2.0,1.5
201,ladder,,baseline_solved,48,39,9,True,61,15,48,39,9,24,0,24,0,Xyx,relabel,10,8,8,6.1,1.88
203,ladder,,baseline_solved,49,39,10,True,116,16,49,39,10,37,0,12,0,Xyy,moved,32,9,8,3.62,1.78
217,ladder,,baseline_solved,43,33,10,True,57,13,43,33,10,17,3,23,0,Xyy,moved,9,7,7,6.33,1.86
228,ladder,,baseline_solved,43,33,10,True,9,7,43,33,10,15,7,21,0,yyx,moved,4,3,3,2.25,2.33
247,ladder,,baseline_solved,55,34,21,True,46,9,55,34,21,27,3,25,0,XyyXy,relabel,9,7,7,5.11,1.29
265,ladder,,baseline_solved,52,43,9,True,121,21,51,42,9,35,1,15,1,xyX,relabel,62,11,11,1.95,1.91
288,ladder,,baseline_solved,48,38,10,True,106,17,48,38,10,21,0,27,0,Xyx,relabel,12,9,9,8.83,1.89
323,ladder,,baseline_solved,46,39,7,True,7,6,46,39,7,21,7,18,0,Xyyy,relabel,4,3,3,1.75,2.0
327,ladder,,baseline_solved,58,47,11,True,273,29,52,42,10,24,0,28,6,yyyx,relabel,25,16,16,10.92,1.81
331,ladder,,baseline_solved,65,55,10,True,93,24,65,55,10,36,3,26,0,Xyx,relabel,9,8,8,10.33,3.0
333,ladder,,baseline_solved,65,51,14,True,313,35,65,51,14,50,1,14,0,YYXyyy,relabel,22,15,15,14.23,2.33
367,ladder,,baseline_solved,70,57,13,True,83,21,69,56,13,33,0,36,1,Xyyy,relabel,25,10,10,3.32,2.1
380,ladder,,baseline_solved,63,49,14,True,381,39,61,48,13,52,1,8,2,Xyyy,moved,22,15,15,17.32,2.6
43,ladder,,baseline_solved,36,29,7,True,13,9,36,29,7,15,1,20,0,xyX,relabel,7,6,6,1.86,1.5
455,ladder,,baseline_solved,85,67,18,True,10,9,85,67,18,39,9,37,0,yyyyx,moved,3,2,2,3.33,4.5
48,ladder,,baseline_solved,32,27,5,True,18,11,32,27,5,8,3,21,0,Xy,moved,9,8,8,2.0,1.38
496,ladder,,baseline_solved,110,108,2,True,4,3,110,108,2,29,20,61,0,YYYYYxyyyyyyy,relabel,3,2,2,1.33,1.5
505,ladder,,baseline_solved,133,116,17,True,34,23,131,116,15,18,1,112,2,Yxyy,moved,15,14,14,2.27,1.64
521,ladder,,baseline_solved,143,139,4,True,5,4,143,139,4,51,21,71,0,YXyy,relabel,3,2,2,1.67,2.0
533,ladder,,baseline_solved,69,57,12,True,438,43,68,56,12,60,0,8,1,Xyyy,relabel,23,16,16,19.04,2.69
538,ladder,,baseline_solved,85,75,10,True,2261,25,84,74,10,48,0,36,1,Xyyy,relabel,13,12,12,173.92,2.08
543,ladder,,baseline_solved,85,69,16,True,1813,81,71,60,11,38,0,33,14,Xyx,relabel,118,42,42,15.36,1.93
544,ladder,,baseline_solved,89,72,17,True,1569,75,83,68,15,60,1,22,6,xYXy,relabel,117,41,41,13.41,1.83
546,ladder,,baseline_solved,90,77,13,True,398,24,78,66,12,46,0,32,12,Xyyyy,relabel,15,12,11,26.53,2.0
548,ladder,,baseline_solved,91,74,17,True,661,28,91,74,17,50,1,40,0,Xyyy,relabel,13,12,12,50.85,2.33
549,ladder,,baseline_solved,89,77,12,True,1411,79,76,66,10,76,0,0,13,Xyyy,moved,226,54,47,6.24,1.46
565,ladder,,baseline_solved,109,95,14,True,1404,145,67,56,11,23,1,43,42,xYXy,relabel,615,99,99,2.28,1.46
568,ladder,,flip,108,95,13,False,,,36,30,6,,,,,XYxy,relabel,3181,42,42,,
573,ladder,,flip,109,93,16,False,,,18,17,1,,,,,Xyyy,relabel,3182,42,42,,
575,ladder,,flip,113,96,17,False,,,51,40,11,,,,,xYXy,relabel,615,99,99,,
578,ladder,,flip,115,98,17,False,,,30,26,4,,,,,XYxy,relabel,3181,42,42,,
579,ladder,,baseline_solved,109,96,13,True,366,26,107,94,13,93,0,14,2,Xyyy,relabel,11,10,10,33.27,2.6
580,ladder,,baseline_solved,109,96,13,True,875,47,98,86,12,51,0,47,11,Xyyyyy,relabel,25,17,17,35.0,2.76
581,ladder,,baseline_solved,109,93,16,True,9567,153,95,84,11,91,0,4,14,Xyyyyy,relabel,632,100,100,15.14,1.53
583,ladder,,flip,116,98,18,False,,,30,26,4,,,,,XYxy,relabel,3320,39,39,,
586,ladder,,baseline_solved,109,93,16,True,9162,153,95,84,11,40,0,55,14,yyyyyx,relabel,616,100,100,14.87,1.53
589,ladder,,baseline_solved,113,101,12,True,558,46,111,100,11,100,0,11,2,xyyyyyy,relabel,13,12,12,42.92,3.83
596,ladder,,flip,138,123,15,False,,,51,43,8,,,,,xYXy,relabel,3353,231,231,,
602,ladder,,baseline_solved,134,120,14,True,6285,56,79,73,6,64,0,15,55,YYxyyyyyyy,relabel,37,22,22,169.86,2.55
605,ladder,,flip,142,124,18,False,,,55,45,10,,,,,YYYxyyyyyyy,relabel,3353,231,231,,
606,ladder,,baseline_solved,138,124,14,True,2023,39,126,113,13,68,0,58,12,Xyyyyy,relabel,17,14,14,119.0,2.79
609,ladder,,baseline_solved,140,124,16,True,1217,56,101,91,10,73,1,27,39,Xyyy,moved,37,22,22,32.89,2.55
610,ladder,,flip,141,124,17,False,,,54,45,9,,,,,XYxy,relabel,3359,225,225,,
622,ladder,,never,169,155,14,False,,,0,0,0,,,,,,,,,,,
