pres,klass,base_nodes,base_solved,cov_nodes,cov_path_len,is_relabel,n_subs
0,baseline_solved,3,1,3,2,1,1
0,baseline_solved,3,1,5,4,1,1
0,baseline_solved,3,1,3,2,1,1
0,baseline_solved,3,1,3,2,1,1
0,baseline_solved,3,1,2,1,1,1
0,baseline_solved,3,1,4,3,1,1
0,baseline_solved,3,1,4,3,1,1
0,baseline_solved,3,1,4,3,1,1
0,baseline_solved,3,1,4,3,1,1
0,baseline_solved,3,1,3,2,1,1
0,baseline_solved,3,1,2,1,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,7,6,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,9,8,0,4
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,8,7,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,7,6,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,9,8,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,7,6,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,8,7,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,10,9,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,8,7,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,8,7,0,2
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,7,6,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,9,8,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,11,10,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,7,6,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,9,8,1,1
496,baseline_solved,4,1,7,6,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,8,7,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,10,9,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,8,7,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,10,9,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,7,6,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,9,8,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,7,6,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,9,8,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,8,7,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,8,7,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,7,6,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,7,6,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,6,5,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,3,2,1,1
496,baseline_solved,4,1,4,3,1,1
496,baseline_solved,4,1,5,4,1,1
496,baseline_solved,4,1,5,4,1,1
521,baseline_solved,5,1,4,3,1,2
521,baseline_solved,5,1,5,4,1,1
521,baseline_solved,5,1,4,3,1,2
521,baseline_solved,5,1,7,6,1,1
521,baseline_solved,5,1,4,3,0,8
521,baseline_solved,5,1,6,5,0,8
521,baseline_solved,5,1,5,4,0,8
521,baseline_solved,5,1,4,3,1,1
521,baseline_solved,5,1,6,5,1,1
521,baseline_solved,5,1,6,5,1,1
521,baseline_solved,5,1,8,7,1,1
521,baseline_solved,5,1,3,2,1,1
521,baseline_solved,5,1,5,4,1,1
521,baseline_solved,5,1,7,6,1,1
521,baseline_solved,5,1,5,4,1,1
