pres_id,bin,r1,r2,start_length,aut_class,greedy_solved,greedy_nodes,greedy_path,n_cov_tried,n_cov_solved,cov_solved,best_z,best_iso_gen,best_class,cov_nodes,cov_path,cov_min_path,node_cut,path_cut,flip
0,0,YYXyx,Yx,7,0,True,3,2,11,11,True,Yxy,y,relabel,2,1,1,1.5,2.0,False
496,0,YYYYYYYXyyyyyyx,YYX,18,68,True,4,3,110,110,True,YYYYYxyyyyyyy,x,relabel,3,2,2,1.33,1.5,False
521,0,YYYYYYYYXyyyyyyyx,YYYx,21,83,True,5,4,143,143,True,YXyy,x,relabel,3,2,2,1.67,2.0,False
323,0,YYYYYx,YYYYXyyyx,15,2,True,7,6,46,46,True,Xyyy,x,relabel,4,3,3,1.75,2.0,False
228,0,YYYXyyx,YYXXYYx,14,52,True,9,7,43,43,True,yyx,x,moved,4,3,3,2.25,2.33,False
455,0,YYYYYXyyyyx,YYYYxYXX,19,89,True,10,9,85,85,True,yyyyx,x,moved,3,2,2,3.33,4.5,False
77,1,YYXyx,YXyXXyxx,13,25,True,11,8,43,43,True,Xy,x,moved,7,6,6,1.57,1.33,False
43,1,YYXyx,YYxYxYX,12,7,True,13,9,36,36,True,xyX,x,relabel,7,6,6,1.86,1.5,False
141,1,YYXyx,YXyXyxxx,13,46,True,12,10,40,40,True,yx,x,moved,8,7,7,1.5,1.43,False
48,1,YYYxxYX,YYXyx,12,13,True,18,11,32,32,True,Xy,x,moved,9,8,8,2.0,1.38,False
155,1,YYYYxyXX,YYXyx,13,31,True,18,12,36,36,True,xyX,x,relabel,9,8,8,2.0,1.5,False
505,1,YYYYYYYXyyyyyyx,YYXyyxx,22,105,True,34,23,133,131,True,Yxyy,y,moved,15,14,14,2.27,1.64,False
247,2,YYYXyyx,YYXyyXyx,15,23,True,46,9,55,55,True,XyyXy,x,relabel,9,7,7,5.11,1.29,False
217,2,YYYXyyx,YYYxxyX,14,51,True,57,13,43,43,True,Xyy,x,moved,9,7,7,6.33,1.86,False
201,2,YYYXyyx,YYXYxYx,14,19,True,61,15,48,48,True,Xyx,x,relabel,10,8,8,6.1,1.88,False
288,2,YYYYXXYx,YYYXyyx,15,55,True,106,17,48,48,True,Xyx,x,relabel,12,9,9,8.83,1.89,False
367,2,YYYYXyyyx,YYXYYxYx,17,72,True,83,21,70,69,True,Xyyy,x,relabel,25,10,10,3.32,2.1,False
331,2,YYYYXyyyx,YYXYxYx,16,65,True,93,24,65,65,True,Xyx,x,relabel,9,8,8,10.33,3.0,False
