mu,ncov,norb
18,62,7
15,45,3
16,50,3
17,58,6
18,53,3
19,56,2
19,63,5
16,49,3
15,51,7
15,48,9
15,53,8
15,52,8
15,55,9
16,50,6
15,46,4
17,70,9
17,52,3
17,68,8
17,69,9
17,69,10
17,69,9
17,72,10
17,72,10
17,72,10
17,48,3
17,72,10
17,70,9
17,70,9
17,70,9
17,47,2
17,52,3
17,53,6
17,61,8
17,54,4
16,49,3
18,50,2
16,55,5
19,85,10
19,85,10
19,88,8
19,89,9
19,89,10
19,89,9
18,53,2
18,55,3
19,61,4
19,92,10
19,92,10
19,61,4
19,92,10
19,92,10
19,90,9
19,90,9
18,55,3
19,57,3
18,53,3
19,57,5
19,57,5
17,54,4
20,56,3
20,62,3
20,62,3
21,112,8
21,113,9
21,113,10
21,113,9
20,61,3
20,63,3
21,116,10
21,116,10
21,116,10
19,60,5
18,53,2
21,116,10
21,114,9
21,66,6
21,66,5
21,66,5
19,56,3
21,72,5
19,54,4
18,57,3
22,61,2
22,66,4
22,66,4
18,57,3
22,62,3
20,62,2
19,60,4
23,145,11
20,64,4
23,142,10
23,142,11
23,142,10
23,141,9
19,58,3
23,145,11
19,62,4
19,62,4
19,57,2
20,63,4
21,68,5
21,70,5
22,66,3
23,66,5
22,66,3
23,70,6
23,70,6
13,34,1
14,50,10
14,50,6
15,46,5
16,48,4
15,46,4
15,46,4
16,49,3
17,54,4
14,55,10
19,73,7
19,76,8
15,55,8
15,47,7
15,52,9
15,44,6
22,71,5
16,61,8
15,58,8
22,71,4
17,59,9
17,56,8
17,56,8
17,57,6
17,59,9
17,56,8
17,56,8
17,57,7
20,65,3
20,66,4
17,59,8
17,56,7
17,56,7
17,57,5
20,65,3
20,65,3
21,67,7
17,52,9
18,59,7
18,59,7
23,75,6
21,68,3
19,65,8
19,61,8
16,53,8
18,59,6
17,58,8
17,50,2
17,49,5
21,57,8
18,54,7
16,53,8
18,59,6
16,53,7
17,61,6
19,68,7
17,51,6
17,51,4
22,70,5
17,52,5
21,69,7
18,56,7
17,56,8
16,50,7
19,55,6
17,55,7
16,43,6
16,46,1
17,48,4
13,35,3
23,77,7
16,37,7
16,50,6
17,54,4
16,44,5
17,59,8
19,60,4
19,55,3
16,49,4
22,66,1
19,72,6
21,63,7
19,52,6
19,66,5
21,58,6
19,62,4
17,70,9
20,57,4
21,57,5
21,63,7
21,69,8
16,48,4
15,46,6
23,67,6
17,59,8
19,66,5
17,65,7
15,43,2
20,68,5
17,53,3
19,56,5
15,50,4
19,60,6
19,58,7
19,55,6
15,43,4
17,70,8
19,64,6
18,56,2
16,44,3
15,45,5
17,52,3
