name,seed_mu,best_mu,improved,expanded,ncov,norb,orbits_reached,class_root
aca_0,18,18,False,True,62,7,51,aca_0
aca_1,15,15,False,True,45,3,257,aca_1
aca_2,16,16,False,True,50,3,276,aca_2
aca_3,17,17,False,True,58,6,246,aca_3
aca_4,18,18,False,True,53,3,91,aca_4
aca_5,19,19,False,True,56,2,82,aca_5
aca_6,19,19,False,True,63,5,45,aca_6
aca_7,16,16,False,True,49,3,453,aca_7
aca_8,15,15,False,True,51,7,5969,aca_8
aca_9,15,15,False,True,48,9,3524,aca_9
aca_10,15,15,False,True,53,8,3151,aca_10
aca_11,15,15,False,True,52,8,3044,aca_11
aca_12,15,15,False,True,55,9,4079,aca_12
aca_13,16,16,False,True,50,6,882,aca_13
aca_14,15,15,False,True,46,4,685,aca_14
aca_15,17,17,False,True,70,9,219,aca_15
aca_16,17,17,False,True,52,3,381,aca_16
aca_17,17,17,False,True,68,8,241,aca_17
aca_18,17,17,False,True,69,9,228,aca_18
aca_19,17,17,False,True,69,10,224,aca_19
aca_20,17,17,False,True,69,9,270,aca_20
aca_21,17,17,False,True,72,10,291,aca_21
aca_22,17,17,False,True,72,10,393,aca_22
aca_23,17,17,False,True,72,10,326,aca_23
aca_24,17,17,False,True,48,3,257,aca_24
aca_25,17,17,False,True,72,10,264,aca_25
aca_26,17,17,False,True,70,9,321,aca_26
aca_27,17,17,False,True,70,9,253,aca_27
aca_28,17,17,False,True,70,9,277,aca_28
aca_29,17,17,False,True,47,2,376,aca_29
aca_30,17,17,False,True,52,3,574,aca_30
aca_31,17,17,False,True,53,6,186,aca_31
aca_32,17,17,False,True,61,8,287,aca_32
aca_33,17,17,False,True,54,4,89,aca_33
aca_34,16,16,False,True,49,3,8,aca_34
aca_35,18,18,False,True,50,2,72,aca_35
aca_36,16,16,False,True,55,5,522,aca_36
aca_37,19,19,False,True,85,10,54,aca_37
aca_38,19,19,False,True,85,10,63,aca_38
aca_39,19,19,False,True,88,8,9,aca_39
aca_40,19,19,False,True,89,9,14,aca_40
aca_41,19,19,False,True,89,10,14,aca_41
aca_42,19,19,False,True,89,9,22,aca_42
aca_43,18,18,False,True,53,2,9,aca_43
aca_44,18,18,False,True,55,3,9,aca_44
aca_45,19,19,False,True,61,4,5,aca_45
aca_46,19,19,False,True,92,10,21,aca_46
aca_47,19,19,False,True,92,10,26,aca_47
aca_48,19,19,False,True,61,4,5,aca_48
aca_49,19,19,False,True,92,10,20,aca_49
aca_50,19,19,False,True,92,10,21,aca_50
aca_51,19,19,False,True,90,9,10,aca_51
aca_52,19,19,False,True,90,9,10,aca_52
aca_53,18,18,False,True,55,3,155,aca_53
aca_54,19,19,False,True,57,3,33,aca_54
aca_55,18,18,False,True,53,3,50,aca_55
aca_56,19,19,False,True,57,5,25,aca_56
aca_57,19,19,False,True,57,5,20,aca_57
aca_58,17,17,False,True,54,4,10,aca_58
aca_59,20,20,False,True,56,3,6,aca_59
aca_60,20,20,False,True,62,3,4,aca_60
aca_61,20,20,False,True,62,3,4,aca_61
aca_62,21,21,False,True,112,8,9,aca_62
aca_63,21,21,False,True,113,9,12,aca_63
aca_64,21,21,False,True,113,10,14,aca_64
aca_65,21,21,False,True,113,9,12,aca_65
aca_66,20,20,False,True,61,3,10,aca_66
aca_67,20,20,False,True,63,3,7,aca_67
aca_68,21,21,False,True,116,10,21,aca_68
aca_69,21,21,False,True,116,10,19,aca_69
aca_70,21,21,False,True,116,10,20,aca_70
aca_71,19,19,False,True,60,5,13,aca_71
aca_72,18,18,False,True,53,2,8,aca_72
aca_73,21,21,False,True,116,10,20,aca_73
aca_74,21,21,False,True,114,9,10,aca_74
aca_75,21,21,False,True,66,6,10,aca_75
aca_76,21,21,False,True,66,5,6,aca_76
aca_77,21,21,False,True,66,5,6,aca_77
aca_78,19,19,False,True,56,3,69,aca_78
aca_79,21,21,False,True,72,5,22,aca_79
aca_80,19,19,False,True,54,4,127,aca_80
aca_81,18,18,False,True,57,3,4,aca_81
aca_82,22,22,False,True,61,2,3,aca_82
aca_83,22,22,False,True,66,4,10,aca_83
