  [nbhd d1] 20/124 roots, 2608 states (9s)
  [nbhd d1] 40/124 roots, 5800 states (24s)
  [nbhd d1] 60/124 roots, 9528 states (40s)
  [nbhd d1] 80/124 roots, 13696 states (68s)
  [nbhd d1] 100/124 roots, 18656 states (101s)
  [nbhd d1] 120/124 roots, 24848 states (140s)
  [nbhd d1] 124/124 roots, 26144 states (151s)
  [nbhd deep] aca_117: 985 members, 869 new (154s)
  [nbhd deep] aca_11: 985 members, 861 new (158s)
  [nbhd deep] aca_121: 985 members, 829 new (162s)
  [nbhd deep] aca_17: 985 members, 821 new (166s)
  [nbhd deep] aca_30: 985 members, 853 new (169s)
  [nbhd deep] aca_122: 985 members, 789 new (172s)
  [nbhd deep] aca_115: 985 members, 901 new (177s)
  [nbhd deep] aca_116: 985 members, 869 new (179s)
  [nbhd deep] aca_1: 985 members, 869 new (183s)
  [nbhd deep] aca_10: 985 members, 861 new (185s)
[nbhd] 34666 states, verdicts {'NOT_SPHERICAL': 34666}
